№ п/п;"№ Відділення ТОВ ""ЕПС""";Адреса;Партнер
246;1010269;85670, Донецька обл., Волноваський р-н., м.Вугледар, вул.Шахтарська,3;delivery
247;1010270;92603, Луганська обл., Сватівський р-н., м.Сватове, вул.Дружби, 12;delivery
248;1010271;21036, Вінницька обл., м.Вінниця, вул.Максимовича, 33;delivery
249;1010272;63503, Харківська обл, Чугуївський р-н., м.Чугуїв, вул.Жадановського,13;delivery
250;1010273;08500, Київська обл., Фастівський р-н., м.Фастів, вул.Київська, 34;delivery
251;1010274;50019, Дніпропетровська обл., м.Кривий Ріг, Центрально-Міський р-н., вул.Купріна, 116-Д;delivery
252;1010275;53304, Дніпропетровська обл., Нікопольський р-н., м.Покров, вул.Чехова, 2;delivery
253;1010276;68803, Одеська обл., Ізмаїльський р-н. м.Рені, вул.Спортивна, 11-А;delivery
254;1010277;42400, Сумська обл., Сумський р-н., смт.Краснопілля, вул.Вокзальна, 46;delivery
255;1010278;52400, Дніпропетровська обл., Дніпровський р-н. смт.Солоне, вул.Гагаріна, 29-А;delivery
256;1010279;49064, Дніпропетровська обл., м.Дніпро, Новокодацький р-н., вул.Мічуріна, 4;delivery
257;1010280;55601, Миколаївська обл., Баштанський р-н.  м.Новий Буг, вул.Грушевського, 20;delivery
258;1010281;19101, Черкаська обл., Уманський р-н., м.Монастирище, вул.Дружби, 36;delivery
259;1010282;78701, Івано-Франківська обл., Верховинський р-н., смт.Верховина, вул.Гуцульського повстання, 13;delivery
260;1010283;90100, Закарпатська обл., Хустський р-н., м.Іршава, вул.Федорова, 29/2;delivery
261;1010284;65005, Одеська обл., м.Одеса, Малиновський р-н., вул.Бугаївська, 41-А;delivery
262;1010285;24321, Вінницька обл., Гайсинський р-н., м.Ладижин, вул.Піонерська, 29;delivery
263;1010286;35705, Рівненська обл., Рівненський р-н., м.Здолбунів, вул.Пушкіна, 1;delivery
264;1010287;37800, Полтавська обл., Лубенський р-н., м.Хорол, вул.Шевченка, 34;delivery
265;1010288;38400, Полтавська обл., Полтавський р-н., м.Решетилівка, вул.Полтавська, 2;delivery
266;1010289;60200, Чернівецька обл., Дністровський р-н., м.Сокиряни, вул.Коцюбинського, 4;delivery
267;1010290;08400, Київська обл., Бориспільський р-н., м.Переяслав,  вул.Героїв Дніпра, ЗЗ;delivery
268;1010292;90400, Закарпатська обл., Хустський р-н., м.Хуст, вул.Гвардійська, 122-124;delivery
269;1010293;03134, м.Київ, Святошинський р-н., вул.Якутська, 8;delivery
270;1010294;59300, Чернівецька обл., Чернівецький р-н.,  м.Кіцмань, вул.Незалежності, 65-А;delivery
271;1010295;50089, Дніпропетровська обл., м.Кривий Ріг, Тернівський р-н., вул.Адмірала Головка, 40;delivery
272;1010296;68100, Одеська обл., Білгород-Дністровський р-н., м.Татарбунари, вул.23-го серпня, 21;delivery
273;1010297;63202 Харківська обл., Харківський р-н. смт.Нова Водолага, вул.Гагаріна, 12;delivery
274;1010298;61000, Харківська обл., м.Харків, Холодногірський р-н., вул.Кононенка, магазин 15-П;delivery
275;1010300;60236, Чернівецька обл., Дністровський р-н., м.Новодністровськ, вул.5-тий квартал, 3;delivery
276;1010301;44601, Волинська обл., Камінь-Каширський р-н. смт.Маневичі, вул.Луцька,1;delivery
277;1010302;39630, Полтавська обл., м.Кременчук, Крюківський р-н., вул.Велика Набережна, 51;delivery
278;1010303;65482, Одеська обл., Одеський р-н., м.Южне, вул.Центральна, 28;delivery
279;1010304;08130, Київська обл., Бучанський р-н., с.Петропавлівська Борщагівка, вул.Велика Кільцева 4-А;delivery
280;1010305;67663, Одеська обл., Одеський р-н., с.Усатове, вул.Грушевського, 114;delivery
281;1010306;26300 Кіровоградська обл., Голованівський р-н. м.Гайворон, вул.Василя Стуса, 3-І;delivery
282;1010307;31100, Хмельницька обл., Хмельницький р-н., м.Старокостянтинів, вул.Миру 1/155;delivery
283;1010308;07416, Київська обл., Броварський р-н., с.Погреби, вул.Шевченка, 1;delivery
284;1010309;22800, Вінницька обл., Вінницький р-н., м.Немирів, вул.Соборна, 206;delivery
285;1010310;08151, Київська обл., Фастівський р-н., м.Боярка, вул.Маяковського, 49;delivery
286;1010311;59200, Чернівецька обл., Чернівецький р-н., м.Вижниця, вул.Українська, 89-Б;delivery
287;1010312;67450, Одеська обл., Роздільнянський р-н., с.Кучурган, вул.Павла Каплуна, 73;delivery
288;1010313;81500, Львівська обл., Львівський р-н., м.Городок, вул.Джерельна, 16;delivery
289;1010314;76005, Івано-Франківська обл., м.Івано-Франківськ, вул. Петлюри, 7-Б;delivery
290;1010315;85107, Донецька обл., Краматорський р-н., м.Костянтинівка, вул.Мирошниченко, 37;delivery
291;1010316;10002, Житомирська обл., м.Житомир, Корольовський р-н.,  Смолянський майдан, 3;delivery
292;1010317;67582, Одеська обл., м.Одеса, Суворовський р-н., 19-й км Старокиївської дороги, 4;delivery
293;1010318;54028, Миколаївська обл., м.Миколаїв, Інгульський р-н., вул.Новозаводська, 23;delivery
294;1010319;39201, Полтавська обл., Полтавський р-н., м.Кобеляки, площа Перемоги, 2-Б;delivery
295;1010320;75201, Херсонська обл., Каховський р-н., смт.Чаплинка, вул.Каланчацька, 1-А;delivery
296;1010321;22700, Вінницька обл., Вінницький р-н., м.Іллінці, вул.Європейська, 74-Е;delivery
297;1010322;62489, Харківська обл., Харківський р-н., смт.Безлюдівка, вул.Зміївська, 62;delivery
298;1010323;08205, Київська обл., Бучанський р-н., м.Ірпінь, вул.Озерна, 3;delivery
299;1010324;24000, Вінницька обл., м.Могилів-Подільський,  проспект Героїв, 57-37;delivery
300;1010326;42706, Сумська обл., Охтирський р-н. м.Охтирка, вул.Сумська, 8;delivery
301;1010327;54025, Миколаївська обл., м.Миколаїв, Центральний р-н., вул.Героїв України, 113-Б;delivery
302;1010328;71601, Запорізька обл., Василівський р-н., м.Василівка, вул.Ліхачова, 2/6;delivery
303;1010329;52900, Дніпропетровська обл., Синельниківський р-н., смт.Межова, вул.Заводська, 136;delivery
304;1010330;52500, Дніпропетровська обл., Синельниківський р-н., м.Синельникове, вул.Шевченка, 27-А;delivery
305;1010332;19502, Черкаська обл., Черкаський р-н., смт.Городище, вул.Миру, 107;delivery
306;1010333;20801, Черкаська обл., Черкаський р-н.,  м.Кам`янка, вул.Героїв Майдану, 19;delivery
307;1010334;59000, Чернівецька обл., Чернівецький р-н. м.Сторожинець, вул.Яремчука, 21;delivery
308;1010335;62203, Харківська обл., Богодухівський р-н., смт.Золочів, вул.Центральна, 27-А;delivery
309;1010336;48505, Тернопільська обл., Чортківський р-н., м.Чортків, вул.Степана  Бандери, 60-А;delivery
310;1010337;27406, Кіровоградська обл.,Кропивницький р-н., м.Знам’янка, вул.Привокзальна, 10-Д;delivery
311;1010338;79039, Львівська обл., м.Львів, Шевченківський р-н., вул.Шевченка, 120;delivery
312;1010339;02088, м.Київ, Дарницький р-н.,вул.Першого Травня, 1-А;delivery
313;1010341;21007, Вінницька обл., м.Вінниця, вул.Академіка Янгеля, 4;delivery
314;1010342;61010, Харківська обл., м.Харків, Основ’янський р-н., вул.Греківська, 25;delivery
315;1010343;79071, Львівська обл., м.Львів, Залізничний р-н., вул.Щирецька, 36;delivery
316;1010344;79004, Львівська обл., м.Львів, Франківський р-н., вул.Стрийська, 108;delivery
317;1010345;81600, Львівська обл., Стрийський р-н., м.Миколаїв, вул.Болоня, 40;delivery
318;1010346;08325, Київська обл., Бориспільський р-н., с.Щасливе, вул.Перспективна, 17;delivery
319;1010349;45101, Волинська обл., Луцький р-н., м.Рожище, вул.Героїв УПА, 41;delivery
320;1010350;56002, Миколаївська обл., Баштанський р-н., смт.Казанка, вул.Миру, 189-Д;delivery
321;1010351;78405, Івано-Франківська обл., Надвірнянський р-н., м.Надвірна, вул.Мазепи, 35-А;delivery
322;1010352;49127, Дніпропетровська обл., м.Дніпро, Самарський р-н., вул.Автопаркова, 5;delivery
323;1010353;09001, Київська обл., Білоцерківський р-н., м.Сквира, вул.Київська, 34;delivery
324;1010354;61201, Харківська обл., м.Харків, Шевченківський р-н., вул.Клочківська, 370;delivery
325;1100001;01004, м.Київ, Печерський район, ВУЛИЦЯ БАСЕЙНА, будинок 6;dk_trend
326;1330002;49098, Дніпропетровська обл., місто Дніпро, Амур-Нижньодніпровський район, ВУЛИЦЯ МАЛИНОВСЬКОГО, будинок 8;justin
327;1330004;02217, м.Київ, Деснянський район, ВУЛИЦЯ ДРАЙЗЕРА, будинок 8;justin
328;1330005;18001, Черкаська обл., м.Черкаси, Придніпровський р-н., бульвар Шевченка, 207;justin
329;1330007;04073, м.Київ, Оболонський район, ВУЛИЦЯ СЕМЕНА СКЛЯРЕНКА, будинок 17;justin
330;1330011;03026, м.Київ, Голосіївський район, ВУЛИЦЯ АКАДЕМІКА ЗАБОЛОТНОГО, будинок 37;justin
331;1330012;04073, м.Київ, Оболонський район, ПРОСПЕКТ СТЕПАНА БАНДЕРИ, будинок 23;justin
332;1330015;65122, Одеська обл., місто Одеса, Київський район, ВУЛИЦЯ АКАДЕМІКА ВІЛЬЯМСА, будинок 75;justin
333;1330017;61204, Харківська обл., місто Харків, Шевченківський район, ПРОСПЕКТ ЛЮДВІГА СВОБОДИ, будинок 30;justin
334;1330018;61121, Харківська обл., місто Харків, Московський район, ПРОСПЕКТ ТРАКТОРОБУДІВНИКІВ, будинок 130;justin
335;1330019;61168, Харківська обл., місто Харків, Київський район, ВУЛИЦЯ ГЕРОЇВ ПРАЦІ, будинок 9;justin
336;1330020;04159, м.Київ, Оболонський р-н, вул.Сім`ї Кульженків, 33, секція 2, приміщення 5-Б;justin
337;1330021;03039, м.Київ, Голосіївський р-н.,  вул. Голосіївська, 7;justin
338;1330023;03148, м.Київ, Святошинський р-н., проспект Академіка Корольова, 3;justin
339;1330024;01042, м.Київ, Печерський район, ВУЛИЦЯ АКАДЕМІКА ФІЛАТОВА, будинок 7;justin
340;1330027;02097, м.Київ, Деснянський район, ВУЛИЦЯ МИЛОСЛАВСЬКА, будинок 10-А;justin
341;1330028;02232, м.Київ, Деснянський район, ПРОСПЕКТ ВОЛОДИМИРА МАЯКОВСЬКОГО, будинок 75/2;justin
342;1330029;03150, м.Київ, Голосіївський район, ВУЛИЦЯ КАЗИМИРА МАЛЕВИЧА, будинок 107;justin
343;1330031;31100, Хмельницька обл., Хмельницький р-н., м.Старокостянтинів,  вул.Острозького, 6/1;justin
344;1330036;82106, Львівська обл., місто Дрогобич, ВУЛИЦЯ ВОЛОДИМИРА ВЕЛИКОГО, будинок 7;justin
345;1330039;61001, Харківська обл., місто Харків, Слобідський район, ВУЛИЦЯ МОЛОЧНА, будинок 1;justin
346;1330040;61118, Харківська обл., місто Харків, Московський район, ПРОСПЕКТ ТРАКТОРОБУДІВНИКІВ, будинок 108;justin
347;1330041;61144, Харківська обл., місто Харків, Московський район, ВУЛИЦЯ ГЕРОЇВ ПРАЦІ, будинок 15;justin
348;1330042;49055, Дніпропетровська обл., місто Дніпро, Чечелівський район, ВУЛИЦЯ НОВОКРИМСЬКА, будинок 3-А;justin
349;1330043;49099, Дніпропетровська обл., місто Дніпро, Новокодацький район, ВУЛИЦЯ ЮРІЯ КОНДРАТЮКА, будинок 4;justin
350;1330044;49000, Дніпропетровська обл., місто Дніпро, Шевченківський район, ВУЛИЦЯ ЄВРОПЕЙСЬКА, будинок 18-А;justin
351;1330047;07800, Київська обл., Бородянський район, селище міського типу Бородянка, ВУЛИЦЯ ЦЕНТРАЛЬНА, будинок 343;justin
352;1330050;43026, Волинська обл., місто Луцьк, ВУЛИЦЯ КРАВЧУКА, будинок 23;justin
353;1330052;76006, Івано-Франківська обл.,  м.Івано-Франківськ,  вул.Василя Стуса, 5;justin
354;1330053;02154, м.Київ, Дніпровський район, ВУЛИЦЯ ЕНТУЗІАСТІВ, будинок 7;justin
355;1330057;80700, Львівська обл., м.Золочів,  площа Вічева, 1;justin
356;1330058;20001, Черкаська обл., Христинівський р-н., м.Христинівка, вул.Шевченка, 52;justin
357;1330063;08136, Київська обл., Києво-Святошинський район, село Крюківщина, ВУЛИЦЯ ЖУЛЯНСЬКА, будинок 1-А;justin
358;1330065;03143, м.Київ, Голосіївський район, ВУЛИЦЯ МЕТРОЛОГІЧНА, будинок 14-Б;justin
359;1330068;65111, Одеська обл., місто Одеса, Суворовський район, ВУЛИЦЯ ГЕНЕРАЛА БОЧАРОВА, будинок 13-А;justin
360;1330069;46023, Тернопільська обл., місто Тернопіль, ВУЛИЦЯ 15-ГО КВІТНЯ, будинок 5-А;justin
361;1330071;04107, м.Київ, Шевченківський район, ВУЛИЦЯ ТАТАРСЬКА, будинок 3/2;justin
362;1330072;03134, м.Київ, Святошинський район, ВУЛИЦЯ БУЛГАКОВА, будинок 11;justin
363;1330073;08631, Київська обл., Васильківський район, селище міського типу Глеваха, ВУЛИЦЯ ВОКЗАЛЬНА, будинок 18-А;justin
364;1330080;88018, Закарпатська обл., місто Ужгород, ВУЛИЦЯ ГЕНЕРАЛА СВОБОДИ, будинок 9-Б;justin
365;1330082;40000, Сумська обл., місто Суми, Ковпаківський район, ВУЛИЦЯ КООПЕРАТИВНА, будинок 1;justin
366;1330084;07363, Київська обл., Вишгородський район, село Хотянівка, ВУЛИЦЯ ВАЛОВА, будинок 2-В;justin
367;1330085;61204, Харківська обл., місто Харків, Шевченківський район, ПРОСПЕКТ ПЕРЕМОГИ, будинок 64;justin
368;1330086;61183, Харківська обл., місто Харків, Київський район, ВУЛИЦЯ ДРУЖБИ НАРОДІВ, будинок 279-А;justin
369;1330087;61096, Харківська обл., місто Харків, Слобідський район, ПРОСПЕКТ ГЕРОЇВ СТАЛІНГРАДУ, будинок 171;justin
370;1330091;04123, м.Київ, Подільський район, ВУЛИЦЯ ЗАПАДИНСЬКА, будинок 15;justin
371;1330093;04210, м.Київ, Оболонський район, ВУЛИЦЯ МАРШАЛА МАЛИНОВСЬКОГО, будинок 34;justin
372;1330096;16600, Чернігівська обл., м.Ніжин, вул. Шевченка, 21-А;justin
373;1330097;18007, Черкаська обл., місто Черкаси, Придніпровський район, ВУЛИЦЯ НАДПІЛЬНА, будинок 411;justin
374;1330098;65009, Одеська обл., місто Одеса, Київський район, ВУЛИЦЯ ФОНТАНСЬКА ДОРОГА, будинок 17/19;justin
375;1330099;39631, Полтавська обл., місто Кременчук, Автозаводський район, ВУЛИЦЯ КИЇВСЬКА, будинок 66-Г;justin
376;1330107;07354, Київська обл., Вишгородський район, село Нові Петрівці, ВУЛИЦЯ СВЯТО-ПОКРОВСЬКА, будинок 222;justin
377;1330118;58032, Чернівецька обл., місто Чернівці, ВУЛИЦЯ ГОЛОВНА, будинок 265-А;justin
378;1330121;54055, Миколаївська обл., місто Миколаїв, Центральний район, ВУЛИЦЯ ЧКАЛОВА, будинок 82;justin
379;1330128;69013, Запорізька обл., місто Запоріжжя, Шевченківський район, ВУЛИЦЯ БАЗОВА, будинок 11;justin
380;1330132;87549, Донецька обл., місто Маріуполь, Центральний район, ПРОСПЕКТ МЕТАЛУРГІВ, будинок 112;justin
381;1330133;61176, Харківська обл., місто Харків, Немишлянський район, ВУЛИЦЯ КРАСНОДАРСЬКА, будинок 181-А;justin
382;1330135;07352, Київська обл., Вишгородський район, село Лютіж, ВУЛИЦЯ ВИЗВОЛИТЕЛІВ, будинок 56-А;justin
383;1330136;02160, м.Київ, Дніпровський р-н., вул.Березнева, 12, приміщення 460;justin
384;1330138;14014, Чернігівська обл., місто Чернігів, Деснянський район, ВУЛИЦЯ МУЗИЧНА, будинок 1;justin
385;1330141;22000, Вінницька обл., місто Хмільник, ПРОСПЕКТ СВОБОДИ, будинок 1;justin
386;1330143;03126, м.Київ, Солом`янський район, БУЛЬВАР ГАВЕЛА ВАЦЛАВА, будинок 54/26;justin
387;1330144;65123, Одеська обл., місто Одеса, Суворовський район, ВУЛИЦЯ СЕМЕНА ПАЛІЯ, будинок 93-А;justin
388;1330145;65058, Одеська обл., місто Одеса, Приморський район, ВУЛИЦЯ ДОВЖЕНКА, будинок 4;justin
389;1330146;02072, м.Київ, Дарницький р-н., вул.Бориса Гмирі, 5-А;justin
390;1330147;02140, м.Київ, Дарницький район, ПРОСПЕКТ МИКОЛИ БАЖАНА, будинок 30;justin
391;1330148;02192, м.Київ, Дніпровський район, ВУЛИЦЯ БОЙЧЕНКА ОЛЕКСАНДРА, будинок 7;justin
392;1330149;46020, Тернопільська обл., місто Тернопіль, ВУЛИЦЯ ТЕКСТИЛЬНА, будинок 28-Ч;justin
393;1330151;76019, Івано-Франківська обл., місто Івано-Франківськ, БУЛЬВАР ПІВНІЧНИЙ ІМ. ПУШКІНА, будинок 2-А;justin
394;1330153;02218, м.Київ, Дніпровський район, БУЛЬВАР ПЕРОВА, будинок 23-Б;justin
395;1330155;07401, Київська обл., місто Бровари, ВУЛИЦЯ ШЕВЧЕНКО, будинок 10-В;justin
396;1330156;02222, м.Київ, Деснянський район, ВУЛИЦЯ ОНОРЕ ДЕ БАЛЬЗАКА, будинок 42/20;justin
397;1330158;02232, м.Київ, Деснянський район, ВУЛИЦЯ МИКОЛИ ЗАКРЕВСЬКОГО, будинок 87;justin
398;1330162;02166, м.Київ, Деснянський район, ВУЛИЦЯ КУРЧАТОВА, будинок 5;justin
399;1330163;02092, м.Київ, Дніпровський район, ВУЛИЦЯ МАРГАНЕЦЬКА, будинок 22;justin
400;1330164;02125, м.Київ, Дніпровський район, ВУЛИЦЯ ПЕТРА ЗАПОРОЖЦЯ, будинок 21;justin
401;1330167;04215, м.Київ, Подільський р-н., проспект Свободи, 26-Б;justin
402;1330168;04208, м.Київ, Подільський район, ПРОСПЕКТ ПРАВДИ, будинок 66;justin
403;1330173;18006, Черкаська обл., місто Черкаси, Придніпровський район, ВУЛИЦЯ ГОГОЛЯ, будинок 582;justin
404;1330175;37600, Полтавська обл., місто Миргород, ВУЛИЦЯ ГОГОЛЯ, будинок 98/6;justin
405;1330178;23700, Вінницька обл., м.Гайсин, вул.1-го Травня, 75;justin
406;1330181;39600, Полтавська обл., місто Кременчук, Автозаводський район, ВУЛИЦЯ ОЛЕКСАНДРА ХАЛАМЕНЮКА, будинок 7;justin
407;1330182;61123, Харківська обл., місто Харків, Московський район, ВУЛИЦЯ ГВАРДІЙЦІВ-ШИРОНІНЦІВ, будинок 42;justin
408;1330185;08500, Київська обл., місто Фастів, ВУЛИЦЯ ІВАНА СТУПАКА, будинок 4;justin
409;1330186;04214, м.Київ, Оболонський район, ВУЛИЦЯ ПІВНІЧНА, будинок 6-В;justin
410;1330187;02160, м.Київ, Дніпровський р-н., ХАРКІВСЬКЕ ШОСЕ, будинок 8;justin
411;1330188;08720, Київська обл., Обухівський р-н., м.Українка, вул.Юності  26;justin
412;1330190;02097, м.Київ, Деснянський район, ВУЛИЦЯ ОНОРЕ ДЕ БАЛЬЗАКА, будинок 94;justin
413;1330192;03058, м.Київ, Солом`янський район, ВУЛИЦЯ БОРЩАГІВСЬКА, будинок 212;justin
414;1330193;03126, м.Київ, Солом`янський район, ВУЛИЦЯ АКАДЕМІКА БІЛЕЦЬКОГО, будинок 3;justin
415;1330194;36002, Полтавська обл., м.Полтава, Шевченківський р-н.,  вул. Європейська, 66;justin
416;1330198;02081, м.Київ, Дарницький район, ВУЛИЦЯ ЗДОЛБУНІВСЬКА, будинок 4;justin
417;1330199;04208, м.Київ, Подільський район, ПРОСПЕКТ ПРАВДИ, будинок 58;justin
418;1330200;03148, м.Київ, Святошинський район, ВУЛИЦЯ ЯКУБА КОЛАСА, будинок 25;justin
419;1330203;65101, Одеська обл., місто Одеса, Київський район, ПРОСПЕКТ НЕБЕСНОЇ СОТНІ, будинок 5-А;justin
420;1330208;49081, Дніпропетровська обл.,  м.Дніпро, Індустріальний р-н., проспект Слобожанський, 13;justin
421;1330214;87505, Донецька обл., місто Маріуполь, Лівобережний район, ВУЛИЦЯ ТАГАНРОЗЬКА, будинок 5;justin
422;1330222;08322, Київська обл., Бориспільський район, село Проліски, ВУЛИЦЯ БРОВАРСЬКА, будинок 2А;justin
423;1330226;36004, Полтавська обл., місто Полтава, Подільський район, ПРОСПЕКТ МИРУ, будинок 30-А;justin
424;1330227;87500, Донецька обл., місто Маріуполь, Лівобережний район, ВУЛИЦЯ КИЇВСЬКА, будинок 27/1;justin
425;1330232;02166, м.Київ, Деснянський район, ПРОСПЕКТ ЛІСОВИЙ, будинок 23;justin
426;1330234;08140, Київська обл., Києво-Святошинський район, село Білогородка, ВУЛИЦЯ ВОЛОДИМИРСЬКА, будинок 35/1;justin
427;1330235;02098, м.Київ, Дарницький район, ВУЛИЦЯ ДНІПРОВСЬКА НАБЕРЕЖНА, будинок 33;justin
428;1330236;61029, Харківська обл., місто Харків, Київський район, ПРОСПЕКТ ТРАКТОРОБУДІВНИКІВ, будинок 59/56;justin
429;1330239;93120, Луганська обл., місто Лисичанськ, ПРОСПЕКТ ПЕРЕМОГИ, будинок 86;justin
430;1330240;93411, Луганська обл., місто Сєвєродонецьк, ПРОСПЕКТ ГВАРДІЙСЬКИЙ, будинок 46;justin
431;1330241;49038, Дніпропетровська обл., місто Дніпро, Центральний район, ПЛОЩА ВОКЗАЛЬНА, будинок 13;justin
432;1330244;04201, м.Київ, Оболонський район, ПРОСПЕКТ МІНСЬКИЙ, будинок 4;justin
433;1330246;02068, м.Київ, Дарницький район, ВУЛИЦЯ РЕВУЦЬКОГО, будинок 26;justin
434;1330248;08205, Київська обл., місто Ірпінь, ВУЛИЦЯ НОВО-ОСКОЛЬСЬКА, будинок 2-О;justin
435;1330251;61193, Харківська обл., м.Харків, Київський р-н.,  вул. Проспектна, 52;justin
436;1330253;08132, Київська обл., Києво-Святошинський район, місто Вишневе, ВУЛИЦЯ ВІТЯНСЬКА, будинок 2;justin
437;1330254;08130, Київська обл., Києво-Святошинський район, село Петропавлівська Борщагівка, ВУЛИЦЯ САДОВА, будинок 1-Г;justin
438;1330255;40009, Сумська обл., м.Суми, Ковпаківський р-н., вул. Іллінська, 7-А;justin
439;1330258;46000, Тернопільська обл., місто Тернопіль, ВУЛИЦЯ ПОЛІСЬКА, будинок 14;justin
440;1330259;79007, Львівська обл., м.Львів, Галицький р-н.,  вул.Котлярська, 2;justin
441;1330260;58002, Чернівецька обл., м.Чернівці, вул.Головна, 57;justin
442;1330263;65016, Одеська обл., м.Одеса, Приморський р-н.,  вул.Каманіна, 16-А/2;justin
443;1330264;50027, Дніпропетровська обл., місто Кривий Ріг, Металургійний район, ВУЛИЦЯ ГЕРОЇВ АТО, будинок 30-А;justin
444;1330265;14030, Чернігівська обл., місто Чернігів, Деснянський район, ВУЛИЦЯ ЗАХИСНИКІВ УКРАЇНИ, будинок 9;justin
445;1330266;18024, Черкаська обл., місто Черкаси, Соснівський район, ВУЛИЦЯ СУМГАЇТСЬКА, будинок 24;justin
446;1330268;02152, м.Київ, Дніпровський район, ВУЛИЦЯ ПАВЛА ТИЧИНИ, будинок 15-А;justin
447;1330270;65080, Одеська обл., місто Одеса, Київський район, ВУЛИЦЯ АКАДЕМІКА ФІЛАТОВА, будинок 1;justin
448;1330271;67801, Одеська обл., Овідіопольський район, селище міського типу Овідіополь, ВУЛИЦЯ ТАРАСА ШЕВЧЕНКА, будинок 228;justin
449;1330272;02166, м.Київ, Деснянський район, ПРОСПЕКТ ЛІСОВИЙ, будинок 39;justin
450;1330282;10025, Житомирська обл., місто Житомир, Корольовський район, ВУЛИЦЯ КОСМОНАВТІВ, будинок 10-А;justin
451;1330285;03065, м.Київ, Солом`янський район, БУЛЬВАР ВАЦЛАВА ГАВЕЛА, будинок 18;justin
452;1330287;03187, м.Київ, Голосіївський район, ПРОСПЕКТ ГЛУШКОВА, будинок 31-А;justin
453;1330288;04079, м.Київ, Подільський р-н., вул.Тираспольська, 54, приміщення 743;justin
454;1330292;54052, Миколаївська обл., місто Миколаїв, Корабельний район, ПРОСПЕКТ КОРАБЕЛІВ, будинок 14;justin
455;1330293;04071, м.Київ, Подільський район, ВУЛИЦЯ ЯРОСЛАВСЬКА, будинок 56-А;justin
456;1330294;08296, Київська обл., Бучанський р-н., смт.Ворзель, вул.Курортна, 60-Д;justin
457;1330296;02005, м.Київ, Дніпровський р-н., вул.Каховська, 62-А;justin
458;1330297;77001, Івано-Франківська обл., Рогатинський район, місто Рогатин, ВУЛИЦЯ ГАЛИЦЬКА, будинок 52;justin
459;1330298;65007, Одеська обл., місто Одеса, Приморський район, ВУЛИЦЯ МАЛА АРНАУТСЬКА, будинок 74;justin
460;1330299;61054, Харківська обл.,   м.Харків, Київський р-н., вул.Академіка Павлова, 165-Г;justin
461;1330304;50005, Дніпропетровська обл., місто Кривий Ріг, Металургійний район, ВУЛИЦЯ ТБІЛІСЬКА, будинок 4;justin
462;1330312;21008, Вінницька обл., місто Вінниця, ВУЛИЦЯ МИКОЛАЇВСЬКА, будинок 2;justin
463;1330316;61000, Харківська обл., місто Харків, Слобідський район, ПРОСПЕКТ ПЕТРА ГРИГОРЕНКА, будинок 25;justin
464;1330317;61054, Харківська обл., місто Харків, Московський район, ВУЛИЦЯ АКАДЕМІКА ПАВЛОВА, будинок 120;justin
465;1330318;04210, м.Київ, Оболонський район, ПРОСПЕКТ ГЕРОЇВ СТАЛІНГРАДА, 12-П;justin
466;1330319;69005, Запорізька обл., місто Запоріжжя, Вознесенівський район, ВУЛИЦЯ ЯЦЕНКА, будинок 2;justin
467;1330320;61007, Харківська обл., м.Харків, Індустріальний р-н.,  проспект Архітектора Альошина, 2;justin
468;1330321;23219, Вінницька обл., Вінницький район, село Вінницьки Хутори, ВУЛИЦЯ ЧЕХОВА, будинок 29-Г;justin
469;1330322;79069, Львівська обл., м.Львів, Шевченківський р-н., вул.Тараса Шевченка, 358-А;justin
470;1330324;41300, Сумська обл., Конотопський р-н., м.Кролевець, вул.Європейська, 16;justin
471;1330326;63701, Харківська обл., м.Куп`янськ, площа Центральна, 23;justin
472;1330327;61064, Харківська обл., місто Харків, Новобаварський район, ВУЛИЦЯ ДУДИНСЬКОЇ, будинок 1-А;justin
473;1330330;02088, м.Київ, Печерський район, БУЛЬВАР ДРУЖБИ НАРОДІВ, будинок 16-А;justin
474;1330331;03040, м.Київ, Голосіївський район, ВУЛИЦЯ ВАСИЛЬКІВСЬКА, будинок 8;justin
475;1330333;14034, Чернігівська обл., місто Чернігів, Деснянський район, ВУЛИЦЯ 1 ТРАВНЯ, будинок 167-А;justin
476;1330336;08132, Київська обл., Києво-Святошинський район, місто Вишневе, ВУЛИЦЯ СВЯТОШИНСЬКА, будинок 28-А;justin
477;1330337;02002, м.Київ, Дніпровський район, ВУЛИЦЯ ЄВГЕНА СВЕРСТЮКА, будинок 4/1;justin
478;1330338;03035, м.Київ, Солом`янський район, ВУЛИЦЯ КУДРЯШОВА, будинок 20;justin
479;1330341;02140, м.Київ, Голосіївський р-н., вулиця Новопирогівська, 58-А;justin
480;1330343;71118, Запорізька обл., м.Бердянськ,  проспект Праці, 33, Г4;justin
481;1330344;01011, м.Київ, Печерський район, ПЛОЩА ПЕЧЕРСЬКА, будинок 1;justin
482;1330346;01001, м.Київ, Шевченківський район, МАЙДАН НЕЗАЛЕЖНОСТІ, ПТП №1, СЕКТОР А;justin
483;1330347;03189, м.Київ, Голосіївський район, ВУЛИЦЯ КОНЄВА МАРШАЛА, будинок 7;justin
484;1330351;61020, Харківська обл., місто Харків, Новобаварський район, ГРИГОРІВСЬКЕ ШОСЕ, будинок 88;justin
485;1330352;46025, Тернопільська обл., м.Тернопіль,  вул.Руська, 23;justin
486;1330353;65110, Одеська обл., смт.Авангард, 10 масив, 206;justin
487;1330355;36000, Полтавська обл., м.Полтава, Київський р-н., вул.Соборності, 29-А;justin
