№ п/п;"№ Відділення ТОВ ""ЕПС""";Адреса;Партнер
51;1010055;84507, Донецька обл., місто Бахмут, ВУЛИЦЯ МІЧУРІНА, будинок 1-А;delivery
52;1010056;84122, Донецька обл., місто Слов`янськ, ВУЛИЦЯ ПОШТОВА, будинок 81;delivery
53;1010057;61040, Харківська обл., місто Харків, Холодногірський район, ВУЛИЦЯ ВЕЛИКА ПАНАСІВСЬКА, будинок 185;delivery
54;1010058;11707, Житомирська обл., місто Новоград-Волинський, ВУЛИЦЯ ШЕВЧЕНКА, будинок 54;delivery
55;1010059;29026, Хмельницька обл., місто Хмельницький, ВУЛИЦЯ ПІЛОТСЬКА, будинок 77/6;delivery
56;1010060;33005, Рівненська обл., місто Рівне, ВУЛИЦЯ БОЯРКА , будинок 28;delivery
57;1010061;81400, Львівська обл., місто Самбір, ВУЛИЦЯ ШЕВЧЕНКА, будинок 52/9;delivery
58;1010062;33027, Рівненська обл., місто Рівне, ВУЛИЦЯ Київська, будинок 98;delivery
59;1010063;43023, Волинська обл., місто Луцьк, ВУЛИЦЯ ЄРШОВА, будинок 11;delivery
60;1010064;02081, м.Київ, Дарницький район, ВУЛИЦЯ ПРИЧАЛЬНА, будинок 5-А;delivery
61;1010065;45201, Волинська обл., Ківерцівський район, м.Ківерці, ВУЛИЦЯ ЧКАЛОВА, будинок 61;delivery
62;1010066;04074, м.Київ, Оболонський район, ВУЛИЦЯ КОНОПЛЯНСЬКА, будинок 12;delivery
63;1010067;42001, Сумська обл., місто Ромни, ВУЛИЦЯ ГОРЬКОГО, будинок 67;delivery
64;1010068;49019, Дніпропетровська обл., місто Дніпро, Ленінський район, ВУЛИЦЯ КВІТКИ-ОСНОВ`ЯНЕНКО, будинок 5;delivery
65;1010069;43018, Волинська обл., місто Луцьк, ВУЛИЦЯ ПОТЕБНІ, будинок 71;delivery
66;1010070;67704, Одеська обл., місто Білгород-Дністровський, ВУЛИЦЯ ГАГАРІНА, будинок 33;delivery
67;1010071;30501, Хмельницька обл., Полонський район, місто Полонне, ВУЛИЦЯ ДЕСЯТИННА, будинок 36;delivery
68;1010072;71108, Запорізька обл., місто Бердянськ, ВУЛИЦЯ ПРАВДИ, будинок 80;delivery
69;1010073;64602, Харківська обл., місто Лозова, ПРОВУЛОК СЕВАСТОПОЛЬСЬКИЙ, будинок 2Б;delivery
70;1010074;17503, Чернігівська обл., місто Прилуки, ВУЛИЦЯ КОЗАЧА, будинок 56;delivery
71;1010075;34503, Рівненська обл., Сарненський район, місто Сарни, ВУЛИЦЯ ТКАЧА, будинок 12;delivery
72;1010076;45403, Волинська обл., місто Нововолинськ, ВУЛИЦЯ ПРОМИСЛОВА, будинок 67;delivery
73;1010077;44301, Волинська обл., Любомльський район, місто Любомль, ВУЛИЦЯ 1 ТРАВНЯ, будинок 127;delivery
74;1010078;36020, Полтавська обл., місто Полтава, Октябрський район, ВУЛИЦЯ СОБОРНОСТІ, будинок 28/13;delivery
75;1010079;41100, Сумська обл., місто Шостка, ВУЛИЦЯ САДОВИЙ БУЛЬВАР, будинок 36А;delivery
76;1010080;74900, Херсонська обл., місто Нова Каховка, вул.Заводська, 2-Н;delivery
77;1010081;74800, Херсонська обл., місто Каховка, ВУЛИЦЯ МЕЛІТОПІЛЬСЬКА, будинок 83;delivery
78;1010082;34400, Рівненська обл., місто Вараш, ВУЛИЦЯ ЛІСОВА, будинок 1;delivery
79;1010083;46003, Тернопільська обл., місто Тернопіль, ВУЛИЦЯ БРОДІВСЬКА, будинок 44;delivery
80;1010084;87515, Донецька обл., місто Маріуполь, Центральний район, ВУЛИЦЯ ІТАЛІЙСЬКА, будинок 40;delivery
81;1010085;35000, Рівненська обл., Костопільський район, місто Костопіль, ВУЛИЦЯ ДРУЖБИ, будинок 2;delivery
82;1010086;08700, Київська обл., місто Обухів, ВУЛИЦЯ ЖОВТНЕВА, будинок 174;delivery
83;1010087;53208, Дніпропетровська обл., місто Нікополь, ВУЛИЦЯ КООПЕРАТИВНА, будинок 5;delivery
84;1010088;45008, Волинська обл., місто Ковель, ВУЛИЦЯ Незалежності, будинок 166-А;delivery
85;1010090;20301, Черкаська обл., місто Умань, ВУЛИЦЯ ІНДУСТРІАЛЬНА, будинок 14А;delivery
86;1010091;44101, Волинська обл., Ратнівський район, селище міського типу Ратне, ВУЛИЦЯ 1-ГО ТРАВНЯ, будинок 34;delivery
87;1010092;89611, Закарпатська обл., місто Мукачево, ВУЛИЦЯ АКАДЕМІКА МОРОЗОВА, будинок 20;delivery
88;1010093;31202, Хмельницька обл., Волочиський район, місто Волочиськ, ВУЛИЦЯ ОЛЕКСАНДРА ДОВЖЕНКА, будинок 2-Ж;delivery
89;1010094;25015, Кіровоградська обл., м.Кропивницький, Подільський р-н., вул. Євгена Маланюка, 11-А;delivery
90;1010095;55001, Миколаївська обл., місто Южноукраїнськ, ВУЛИЦЯ ДРУЖБИ НАРОДІВ, будинок 5/5;delivery
91;1010096;93600, Луганська обл., Станично-Луганський район, селище міського типу Станиця Луганська, ВУЛИЦЯ БУКАЄВА, будинок 53;delivery
92;1010097;71701, Запорізька обл., місто Токмак, ВУЛИЦЯ КАРЛА ЛІБКНЕХТА, будинок 103;delivery
93;1010098;69089, Запорізька обл., місто Запоріжжя, Дніпровський район, ВУЛИЦЯ ІСТОМІНА, будинок 6;delivery
94;1010099;16610, Чернігівська обл., місто Ніжин, ВУЛИЦЯ ГЕНЕРАЛА КОРЧАГІНА, будинок 2;delivery
95;1010100;41600, Сумська обл., місто Конотоп, ВУЛИЦЯ САДОВА, будинок 16;delivery
96;1010101;39801, Полтавська обл., місто Горішні Плавні, ВУЛИЦЯ СТРОНА, будинок 1;delivery
97;1010102;23100, Вінницька обл., місто Жмеринка, ВУЛИЦЯ КИЇВСЬКА, будинок 18;delivery
98;1010103;56501, Миколаївська обл., місто Вознесенськ, ВУЛИЦЯ СОБОРНОСТІ, будинок 13;delivery
99;1010104;92905, Луганська обл., Кремінський район, місто Кремінна, ПРОВУЛОК ПІЩАНИЙ, будинок 10;delivery
100;1010105;41400, Сумська обл., місто Глухів, ВУЛИЦЯ ТЕРЕЩЕНКІВ, будинок 55;delivery
101;1010106;75500, Херсонська обл., Генічеський район, місто Генічеськ, ПРОСПЕКТ МИРУ, будинок 109-Б;delivery
102;1010107;08601, Київська обл., місто Васильків, ВУЛИЦЯ ГОГОЛЯ, будинок 5-А;delivery
103;1010108;80109, Львівська обл., місто Червоноград, ВУЛИЦЯ БОГДАНА ХМЕЛЬНИЦЬКОГО, будинок 61;delivery
104;1010110;08304, Київська обл., місто Бориспіль, ВУЛИЦЯ ГОЛОВАТОГО, будинок 83;delivery
105;1010111;03026, м.Київ, Голосіївський район, ВУЛИЦЯ ПИРОГОВСЬКИЙ ШЛЯХ, будинок 135;delivery
106;1010113;62302, Харківська обл., Дергачівський район, місто Дергачі, ВУЛИЦЯ СУМСЬКИЙ ШЛЯХ, будинок 158;delivery
107;1010114;62416, Харківська обл., Харківський район, селище міського типу Пісочин, ВУЛИЦЯ ПОЛТАВСЬКЕ ШОСЕ, будинок 157-А;delivery
108;1010115;69006, Запорізька обл., м.Запоріжжя, Дніпровський р-н., вул.Портова, 2;delivery
109;1010116;39600, Полтавська обл., місто Кременчук, Крюківський район, ВУЛИЦЯ ІГОРЯ СЕРДЮКА, будинок 47;delivery
110;1010117;38200, Полтавська обл., Семенівський район, селище міського типу Семенівка, ВУЛИЦЯ ПЕРЕМОГИ, будинок 7;delivery
111;1010118;69002, Запорізька обл., м.Запоріжжя, Комунарський р-н., вул.Космічна, 121;delivery
112;1010119;61124, Харківська обл., місто Харків, Слобідський район, ВУЛИЦЯ ОЛЕКСАНДРА МАТРОСОВА, будинок 20;delivery
113;1010120;82106, Львівська обл., місто Дрогобич, ВУЛИЦЯ ВОЛОДИМИРА ВЕЛИКОГО, будинок 66-1;delivery
114;1010121;25014, Кіровоградська обл., м.Кропивницький, Фортечний р-н., Oлeгa Паршутіна, 28;delivery
115;1010122;03124, м.Київ, Солом`янський район, ВУЛИЦЯ РАДИЩЕВА, будинок 12-16;delivery
116;1010123;38100, Полтавська обл., Зіньківський район, місто Зіньків, ВУЛИЦЯ ВОЗДВИЖЕНСЬКА, будинок 1-К;delivery
117;1010124;43020, Волинська обл., місто Луцьк, ВУЛИЦЯ РІВНЕНСЬКА, будинок 76-А;delivery
118;1010126;55210, Миколаївська обл., місто Первомайськ, ВУЛИЦЯ ВОЗНЕСЕНСЬКА, будинок 52-Б;delivery
119;1010127;77001, Івано-Франківська обл., Рогатинський район, місто Рогатин, ВУЛИЦЯ ГАЛИЦЬКА, будинок 86;delivery
120;1010128;48101, Тернопільська обл., Теребовлянський район, місто Теребовля, ВУЛИЦЯ КНЯЗЯ ВАСИЛЬКА, будинок 107;delivery
121;1010129;65075, Одеська обл., місто Одеса, Малиновський район, ВУЛИЦЯ МОТОРНА, будинок 8/К1;delivery
122;1010130;24400, Вінницька обл., Бершадський р-н., м.Бершадь, вул.Юрія Коваленка, 19;delivery
123;1010131;84404, Донецька обл., місто Лиман, ВУЛИЦЯ ПРИВОКЗАЛЬНА, будинок 35-А;delivery
124;1010132;23700, Вінницька обл., Гайсинський район, місто Гайсин, ВУЛИЦЯ МЕХАНІЗАТОРІВ, будинок 15-А;delivery
125;1010133;03151, м.Київ, Солом`янський район, ПРОСПЕКТ ПОВІТРОФЛОТСЬКИЙ, будинок 64;delivery
126;1010134;21037, Вінницька обл., м.Вінниця, Сабарівське шосе, 4-А;delivery
127;1010135;85612, Донецька обл., Мар’їнський р-н., м.Курахове, вул.Грушева, 9/1;delivery
128;1010136;02218, м.Київ, Дніпровський район, БУЛЬВАР ПЕРОВА, будинок 19-А;delivery
129;1010137;49041, Дніпропетровська обл., місто Дніпро, Соборний район, ПРОСПЕКТ ПРАЦІ, будинок 2-А;delivery
