№ п/п;"№ Відділення ТОВ ""ЕПС""";Область;Район в обл.;Індекс;Тип населеного пункту;Населений пункт;Район в місті;Тип вулиці;Адреса;Номер будинку;Дата признчення керівника;модель РРО;Заводський № РРО;2;koatu1;koatu2
1087;1890158;Дніпропетровська;;50089;м.;Кривий Ріг;Тернівський;вулиця;Адмірала Головка;40-Е;;;;50089, Дніпропетровська обл., м.Кривий Ріг, Тернівський р-н.,  вул. Адмірала Головка, 40-Е;1211037200;UA12060170010643671
1088;1890159;Київська;;08302;м.;Бориспіль;;вулиця;КИЇВСЬКИЙ ШЛЯХ;2/6;;;;08302, Київська обл., м.Бориспіль, вул.Київський шлях, 2/6;3210500000;UA32040010000010116
1089;1890160;Полтавська;;39600;м.;Кременчук;Крюківський;вулиця;Халаменюка;7;;;;39600, Полтавська обл., м.Кременчук, Крюківський р-н., вул.Халаменюка, 7;5310436500;UA53020110010228624
1090;1890161;Дніпропетровська;;51939;м.;Кам`янське;Дніпровський;бульвар;Будівельників;27-А;;;;51939, Дніпропетровська обл., м.Кам`янське, Дніпровський р-н., бульвар Будівельників, 27-А;1210436600;UA12040150010118924
1091;1890162;Донецька;;84122;м.;Слов`янськ;;вулиця;Шовковична;12;;;;84122, Донецька обл., м.Слов`янськ, вул.Шовковична, 12;1414100000;UA14120210000056793
1092;1890163;Дніпропетровська;;51200;м.;Новомосковськ;;вулиця;ГЕТЬМАНСЬКА;33;;;;51200, Дніпропетровська обл., м.Новомосковськ, вул.Гетьманська, 33;1211900000;UA12100070000011492
1093;1890164;Донецька;;85110;м.;Костянтинівка;;вулиця;Громова;55;;;;85110, Донецька обл., м.Костянтинівка, вул.Громова, 55;1412600000;UA14120070000090878
1094;1890165;Чернігівська;;17500;м.;Прилуки;;вулиця;Київська;170;;;;17500, Чернігівська обл., м.Прилуки, вул.Київська, 170;7410700000;UA74080130000060606
1095;1890166;Черкаська;;19003;м.;Канів;;вулиця;Олега Кошового;2/12;;;;19003, Черкаська обл., м.Канів, вул.Олега Кошового, 2/12;7110300000;UA71080150000071745
1096;1890167;Львівська;Пустомитівський;81130;с.;Сокільники;;вулиця;Стрийська;30;;;;81130, Львівська обл., Пустомитівський р-н.,  с.Сокільники, вул.Стрийська, 30;4623686401;UA46060410010099446
1097;1890168;Житомирська;;13301;м.;Бердичів;;вулиця;Європейська;32/1;;;;13301, Житомирська обл., м.Бердичів, вул.Європейська, 32/1;1810400000;UA18020030000035625
1098;1890169;Хмельницька;;32302;м.;Кам`янець-Подільський;;проспект;Грушевського;23/3;;;;32302, Хмельницька обл., м.Кам`янець-Подільський, проспект Грушевського, 23/3;6810400000;UA68020110000071202
1099;1890170;Харківська;;64602;м.;Лозова;;вулиця;Благовіщенська;12;;;;64602, Харківська обл., м.Лозова, вул.Благовіщенська, 12;6311000000;UA63100050000079487
1100;1890171;Полтавська;;37600;м.;Миргород;;вулиця;Гоголя;139;;;;37600, Полтавська обл., м.Миргород, вул.Гоголя, 139;5310900000;UA53060230000098362
1101;1890172;Сумська;;42703;м.;Охтирка;;вулиця;НЕЗАЛЕЖНОСТІ;23;;;;42703, Сумська обл., м.Охтирка, вул.Незалежності, 23;5910200000;UA59040110000026694
1102;1890173;Кіровоградська;;28008;м.;Олександрія;;проспект;СОБОРНИЙ;91/3;;;;28008, Кіровоградська обл., м.Олександрія, проспект Соборний, 91/3;3510300000;UA35080050000038829
1103;1890174;Кіровоградська;;27406;м.;Знам`янка;;вулиця;Привокзальна;4-Г;;;;27406, Кіровоградська обл., м.Знам`янка, вул.Привокзальна, 4-Г;3510600000;UA35040130000021732
1104;1890175;Миколаївська;;55002;м.;Южноукраїнськ;;проспект;НЕЗАЛЕЖНОСТІ;33-Г/1;;;;55002, Миколаївська обл., м.Южноукраїнськ, проспект Незалежності, 33-Г/1;4810800000;UA48040250000044166
1105;1890176;Дніпропетровська;;51500;м.;Тернівка;;вулиця;Харківська;5;;;;51500, Дніпропетровська обл., м.Тернівка, вул.Харківська, 5;1213500000;UA12120090000031622
1106;1890177;Дніпропетровська;;51400;м.;Павлоград;;вулиця;ШЕВЧЕНКА;128;;;;51400, Дніпропетровська обл., м.Павлоград, вул.Шевченка, 128;1212400000;UA12120070000057518
1107;1890178;Луганська;;93100;м.;Лисичанськ;;вулиця;ГЕТЬМАНСЬКА;31;;;;93100, Луганська обл., м.Лисичанськ, вул.Гетьманська, 31;4411800000;UA44120050000066819
1108;1890179;Донецька;;85302;м.;Покровськ;;вулиця;Європейська;72;;;;85302, Донецька обл., м.Покровськ, вул.Європейська, 72;1413200000;UA14160210000011148
1109;1890180;Полтавська;;39803;м.;Горішні Плавні;;проспект;Героїв Дніпра;79;;;;39803,Полтавська обл., м.Горішні Плавні, проспект Героїв Дніпра, 79;5310200000;UA53020030000081709
1110;1890181;Сумська;;41100;м.;Шостка;;вулиця;Свободи;39;;;;41100, Сумська обл., м.Шостка, вул.Свободи, 39;5911000000;UA59100170000093676
1111;1890182;Харківська;Балаклійський;64207;м.;Балаклія;;площа;ім.Казмірука;2;;;;64207, Харківська обл., Балаклійський р-н.,  м.Балаклія, площа ім.Казмірука, 2;6320210100;UA63040010000010092
