№ п/п;"№ Відділення ТОВ ""ЕПС""";Адреса;Партнер
261;1700063;61054, Харківська обл., місто Харків, Московський район, ВУЛИЦЯ АКАДЕМІКА ПАВЛОВА, будинок 120-А;sat
262;1700066;69014, Запорізька обл., м.Запоріжжя, Шевченківський р-н., вул.Радистів, 54;sat
263;1700067;92700, Луганська обл., Старобільський р-н., м.Старобільськ, площа Товарна, 24-Б;sat
264;1700068;10002, Житомирська обл., м.Житомир, Корольовський р-н., вул.Вінницька, 23;sat
265;1700069;46023, Тернопільська обл. м.Тернопіль, вул.15 Квітня, корпус 12;sat
266;1700070;08601, Київська обл., Обухівський р-н., м.Васильків, вул.Чехова, 3-А;sat
267;1700071;81105, Львівська обл., Львівський р-н., с.Наварія, вул.Львівська, 129;sat
268;1700072;79034, Львівська обл., м.Львів, Сихівський р-н., вул.Панаса Мирного, 24;sat
269;1700073;58000, Чернівецька обл., м.Чернівці, вул.Маланчука Олександра, 36-Б;sat
270;1700074;18031, Черкаська обл., м.Черкаси, Соснівський р-н., вул.Благовісна, 27;sat
271;1700075;78203, Івано-Франківська обл., Коломийський р-н., м.Коломия, вул.Гетьмана Івана Мазепи, 210-А;sat
272;1890065;03150, м.Київ, Печерський р-н.,  вул.Велика Васильківська, 143/2;allo
273;1890121;61098, Харківська обл., м.Харків, Холодногірський р-н, вул.Полтавський шлях, 152;allo
274;1890138;02105, м.Київ, Дніпровський р-н., проспект Соборності, 2/1-А;allo
275;1900001;03164, м.Київ, Святошинський р-н., проспект Академіка Палладіна, 16;zun
276;1910001;04076, м.Київ, Оболонський р-н., проспект Степана Бандери, 23;surya
277;2(Веб-сайт-ПТКС);03127, м.Київ, Голосіївський район, ГОЛОСІЇВСЬКИЙ ПРОСПЕКТ, будинок 132, приміщення 38;EPS
278;2140001;49000, Дніпропетровська обл., м.Дніпро, Центральний р-н., проспект Дмитра Яворницького, 87;nazarenko
279;2150001;01001, м.Київ, Печерський р-н., вул.Хрещатик, 15/4;sirykav
280;2160001;08173, Київська обл., Обухівський р-н., с.Ходосівка, вул.Обухівське шосе-2, 2;sirnykvv
281;2180001;04071, м.Київ, Подільський р-н. вул.Костянтинівська,  27/29;pony
