№ п/п;"№ Відділення ТОВ ""ЕПС""";Адреса;Партнер
63;1010297;63202 Харківська обл., Харківський р-н. смт.Нова Водолага, вул.Гагаріна, 12;delivery
64;1010298;61000, Харківська обл., м.Харків, Холодногірський р-н., вул.Кононенка, магазин 15-П;delivery
65;1010299;63270, Харківська обл., Харківський р-н., смт.Солоницівка, вул.Заводська, 49/9;delivery
66;1010300;60236, Чернівецька обл., Дністровський р-н., м.Новодністровськ, вул.5-тий квартал, 3;delivery
67;1010301;44601, Волинська обл., Камінь-Каширський р-н. смт.Маневичі, вул.Луцька,1;delivery
68;1010302;39630, Полтавська обл., м.Кременчук, Крюківський р-н., вул.Велика Набережна, 51;delivery
69;1010303;65482, Одеська обл., Одеський р-н., м.Южне, вул.Центральна, 28;delivery
70;1010304;08130, Київська обл., Бучанський р-н., с.Петропавлівська Борщагівка, вул.Велика Кільцева 4-А;delivery
71;1010305;67663, Одеська обл., Одеський р-н., с.Усатове, вул.Грушевського, 114;delivery
72;1010306;26300 Кіровоградська обл., Голованівський р-н. м.Гайворон, вул.Василя Стуса, 3-І;delivery
73;1010307;31100, Хмельницька обл., Хмельницький р-н., м.Старокостянтинів, вул.Миру 1/155;delivery
74;1010308;07416, Київська обл., Броварський р-н., с.Погреби, вул.Шевченка, 1;delivery
75;1010309;22800, Вінницька обл., Вінницький р-н., м.Немирів, вул.Соборна, 206;delivery
76;1010310;08151, Київська обл., Фастівський р-н., м.Боярка, вул.Маяковського, 49;delivery
77;1010311;59200, Чернівецька обл., Чернівецький р-н., м.Вижниця, вул.Українська, 89-Б;delivery
78;1010312;67450, Одеська обл., Роздільнянський р-н., с.Кучурган, вул.Павла Каплуна, 73;delivery
79;1010313;81500, Львівська обл., Львівський р-н., м.Городок, вул.Джерельна, 16;delivery
80;1010314;76005, Івано-Франківська обл., м.Івано-Франківськ, вул. Петлюри, 7-Б;delivery
81;1010315;85107, Донецька обл., Краматорський р-н., м.Костянтинівка, вул.Мирошниченко, 37;delivery
82;1010316;10002, Житомирська обл., м.Житомир, Корольовський р-н.,  Смолянський майдан, 3;delivery
83;1010317;67582, Одеська обл., м.Одеса, Суворовський р-н., 19-й км Старокиївської дороги, 4;delivery
84;1010318;54028, Миколаївська обл., м.Миколаїв, Інгульський р-н., вул.Новозаводська, 23;delivery
85;1010319;39201, Полтавська обл., Полтавський р-н., м.Кобеляки, площа Перемоги, 2-Б;delivery
86;1010320;75201, Херсонська обл., Каховський р-н., смт.Чаплинка, вул.Каланчацька, 1-А;delivery
87;1010321;22700, Вінницька обл., Вінницький р-н., м.Іллінці, вул.Європейська, 74-Е;delivery
88;1010322;62489, Харківська обл., Харківський р-н., смт.Безлюдівка, вул.Зміївська, 62;delivery
89;1010323;08205, Київська обл., Бучанський р-н., м.Ірпінь, вул.Озерна, 3;delivery
90;1010324;24000, Вінницька обл., м.Могилів-Подільський,  проспект Героїв, 57-37;delivery
91;1010325;40021, Сумська обл., м.Суми, Зарічний р-н., вул.Герасима Кондратьєва, 98;delivery
92;1010326;42706, Сумська обл., Охтирський р-н. м.Охтирка, вул.Сумська, 8;delivery
93;1010327;54025, Миколаївська обл., м.Миколаїв, Центральний р-н., вул.Героїв України, 113-Б;delivery
94;1010328;71601, Запорізька обл., Василівський р-н., м.Василівка, вул.Ліхачова, 2/6;delivery
95;1010329;52900, Дніпропетровська обл., Синельниківський р-н., смт.Межова, вул.Заводська, 136;delivery
96;1010330;52500, Дніпропетровська обл., Синельниківський р-н., м.Синельникове, вул.Шевченка, 27-А;delivery
97;1010331;20501, Черкаська обл., Звенигородський р-н., смт.Катеринопіль, вул.В`ячеслава Чорновола, 4-Б;delivery
98;1010332;19502, Черкаська обл., Черкаський р-н., смт.Городище, вул.Миру, 107;delivery
99;1010333;20801, Черкаська обл., Черкаський р-н.,  м.Кам`янка, вул.Героїв Майдану, 19;delivery
100;1010334;59000, Чернівецька обл., Чернівецький р-н. м.Сторожинець, вул.Яремчука, 21;delivery
101;1010335;62203, Харківська обл., Богодухівський р-н., смт.Золочів, вул.Центральна, 27-А;delivery
102;1010336;48505, Тернопільська обл., Чортківський р-н., м.Чортків, вул.Степана  Бандери, 60-А;delivery
103;1010337;27406, Кіровоградська обл.,Кропивницький р-н., м.Знам’янка, вул.Привокзальна, 10-Д;delivery
104;1010338;79039, Львівська обл., м.Львів, Шевченківський р-н., вул.Шевченка, 120;delivery
105;1010339;02088, м.Київ, Дарницький р-н.,вул.Першого Травня, 1-А;delivery
106;1010340;67832, Одеська обл., Одеський р-н., смт.Великодолинське, вул.Чорноморська, 2-А;delivery
107;1010341;21007, Вінницька обл., м.Вінниця, вул.Академіка Янгеля, 4;delivery
108;1010342;61010, Харківська обл., м.Харків, Основ’янський р-н., вул.Греківська, 25;delivery
109;1010343;79071, Львівська обл., м.Львів, Залізничний р-н., вул.Щирецька, 36;delivery
110;1010344;79004, Львівська обл., м.Львів, Франківський р-н., вул.Стрийська, 108;delivery
111;1010345;81600, Львівська обл., Стрийський р-н., м.Миколаїв, вул.Болоня, 40;delivery
112;1010346;08325, Київська обл., Бориспільський р-н., с.Щасливе, вул.Перспективна, 17;delivery
113;1010347;07400, Київська обл., м.Бровари, вул. Січових стрільців, 1;delivery
114;1010348;34200, Рівненська обл., Сарненський р-н., смт.Рокитне, вул.Ігоря Зінича, 3;delivery
115;1010349;45101, Волинська обл., Луцький р-н., м.Рожище, вул.Героїв УПА, 41;delivery
116;1010350;56002, Миколаївська обл., Баштанський р-н., смт.Казанка, вул.Миру, 189-Д;delivery
117;1010351;78405, Івано-Франківська обл., Надвірнянський р-н., м.Надвірна, вул.Мазепи, 35-А;delivery
118;1010352;49127, Дніпропетровська обл., м.Дніпро, Самарський р-н., вул.Автопаркова, 5;delivery
119;1010353;09001, Київська обл., Білоцерківський р-н., м.Сквира, вул.Київська, 34;delivery
120;1010354;61201, Харківська обл., м.Харків, Шевченківський р-н., вул.Клочківська, 370;delivery
121;1010355;40024, Сумська обл., м.Суми, Ковпаківський р-н., вул.Тополянська, 23-Б;delivery
122;1010356;11604, Житомирська обл., Коростенський р-н., м.Малин, вул.Івана Огієнка, 61;delivery
123;1320001;03062, м.Київ, Святошинський район, ВУЛИЦЯ ЧИСТЯКІВСЬКА, будинок 30;avtolux
124;1320002;65005, Одеська обл., місто Одеса, Малиновський район, ПРОВУЛОК БУДІВЕЛЬНИЙ, будинок 3;avtolux
125;1320003;07401, Київська обл., місто Бровари, ВУЛИЦЯ ЯРОСЛАВА МУДРОГО, будинок 55;avtolux
126;1320004;21034, Вінницька обл., місто Вінниця, ВУЛИЦЯ МАКСИМА ШИМКА, будинок 50;avtolux
127;1320005;49064, Дніпропетровська обл., місто Дніпро, Новокодацький район, ВУЛИЦЯ КАРАВАЄВА, будинок 11-А;avtolux
