№ п/п;"№ Відділення ТОВ ""ЕПС""";Область;Район в обл.;Індекс;Тип населеного пункту;Населений пункт;Район в місті;Тип вулиці;Адреса;Номер будинку;Дата признчення керівника;модель РРО;Заводський № РРО;2;koatu1;koatu2
204;1010204;Харківська;;64305;м.;Ізюм;;вулиця;Гостинна;2;;;;64305, Харківська  обл.,  м.Ізюм, вул.Гостинна, 2;6310400000;UA63040090010029555
205;1010205;Дніпропетровська;;51909;м.;Кам`янське;;провулок;Цегляний;19;;;;51909, Дніпропетровська  обл., м.Кам`янське, провулок Цегляний, 19;1210400000;UA12040150010056523
206;1010206;Хмельницька;;29025;м.;Хмельницький;;вулиця;Курчатова;117-А;;;;29025, Хмельницька  обл., м.Хмельницький, вул.Курчатова 117-А;6810100000;UA68040470010096613
207;1010207;Дніпропетровська;;51206;м.;Новомосковськ;;вулиця;Микити Головка;12;;;;51206, Дніпропетровська  обл., м.Новомосковськ, вул.Микити Головка , 12;1211900000;UA12100070010038698
208;1010208;Полтавська;;36008;м.;Полтава;Шевченківський;вулиця;Комарова;5;;;;36008, Полтавська  обл., м.Полтава, Шевченківський р-н., вул.Комарова, 5;5310100000;UA53080370010073240
209;1010209;Одеська;;68001;м.;Чорноморськ;;вулиця;Транспортна;14;;;;68001, Одеська  обл., м.Чорноморськ, вул.Транспортна, 14;5110800000;UA51100370010020298
210;1010210;Волинська;Шацький;44000;м.;Шацьк;;вулиця;50 років Перемоги;6;;;;44000, Волинська  обл., Шацький р-н., м.Шацьк, вул.50 років Перемоги, 6;0725755100;UA07060450010076290
211;1010211;Харківська;;61001;м.;Харків;Слобідський;вулиця;Польова;83;;;;61001, Харківська обл., м.Харків, Слобідський р-н., вул.Польова, 83;6310136900;UA63120270010736370
212;1010212;Вінницька;;22000;м.;Хмільник;;вулиця;Монастирська;8-А;;;;22000, Вінницька обл., м. Хмільник, вул.Монастирська, 8-А;0510900000;UA05120170010081140
213;1010213;Івано-Франківська;;78208;м.;Коломия;;вулиця;Симоненка;1-Г;;;;78208, Івано-Франківська обл., м.Коломия, вул.Симоненка, 1-Г;2610600000;UA26080070010075786
214;1010214;Київська;;07101;м.;Славутич;;вулиця;Чернігівська;10;;;;07101, Київська обл., м.Славутич, вул.Чернігівська, 10;3211500000;UA32100130010084793
215;1010215;Дніпропетровська;;49098;м.;Дніпро;Амур-Нижньодніпровський;вулиця;Любарського;159;;;;49098, Дніпропетровська обл., м.Дніпро, Амур-Нижньодніпровський р-н., вул.Любарського, 159;1210136300;UA12020010010114149
216;1010216;Черкаська;Чигиринський;20901;м.;Чигирин;;вулиця;Грушевського;16-А;;;;20901, Черкаська обл., Чигиринський р-н., м.Чигирин, вул.Грушевського, 16-А;7125410100;UA71080510010036826
217;1010217;Полтавська;;37000;м.;Пирятин;;вулиця;Ярмаркова;28;;;;37000, Полтавська обл., Пирятинський р-н., м.Пирятин, вул.Ярмаркова, 28;5323810100;UA53040090010096696
218;1010218;Одеська;;66302;м.;Подільськ;;вулиця;Успенська;14-А;;;;66302, Одеська обл., м.Подільськ, вул.Успенська, 14-А;5111200000;UA51120190010049331
219;1010219;Миколаївська;;55213;м.;Первомайськ;;вулиця;Вокзальна;34;;;;55213, Миколаївська обл., м.Первомайськ, вул.Вокзальна, 34;4810400000;UA48080130010068596
