Найменування відокремленного підрозділу та ПНФП;Адреса;Дата та номер рішення про створення;ЄДРПОУ;Режим роботи;Платежі приймаються в Платіжній системі;Платежі виплачуються  в Платіжній системі
ВІДДІЛЕННЯ №1010018;03026, м.Київ, Голосіївський район, ВУЛИЦЯ ПИРОГІВСЬКИЙ ШЛЯХ, будинок 135;31/07 від 20.07.2016;40683556;ПН-ПТ: 9:00-18:00, СБ: 9:00-15:00;ВПС ЕЛЕКТРУМ, ВПС FLASHPAY;ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1010019;02094, м.Київ, Дніпровський район, ВУЛИЦЯ ВІСКОЗНА, будинок 32;31/07 від 20.07.2016;40683565;не працює;ВПС ЕЛЕКТРУМ, ВПС FLASHPAY;ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1010020;09117, Київська обл., місто Біла Церква, ВУЛИЦЯ УЗИНСЬКА, будинок 5;31/07 від 20.07.2016;40683570;ПН-ПТ: 9:00-18:00, СБ: 9:00-17:00;ВПС ЕЛЕКТРУМ, ВПС FLASHPAY;ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1010021;07403, Київська обл., місто Бровари, ВУЛИЦЯ КРАСОВСЬКОГО, будинок 16;31/07 від 20.07.2016;40683586;ПН-ПТ: 9:00-19:00, СБ: 9:00-17:00;ВПС ЕЛЕКТРУМ, ВПС FLASHPAY;ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1010022;85700, Донецька обл., Волноваський район, місто Волноваха, ВУЛИЦЯ УКРАЇНСЬКА, будинок 36;31/07 від 20.07.2016;40683591;ПН-ПТ: 9:00-18:00, СБ: 9:00-17:00;ВПС ЕЛЕКТРУМ, ВПС FLASHPAY;ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1010023;50000, Дніпропетровська обл., місто Кривий Ріг, Довгинцівський район, ВУЛИЦЯ ОТТО БРОЗОВСЬКОГО, будинок 85;31/07 від 20.07.2016;40683607;ПН-ПТ: 9:00-18:00, СБ: 9:00-17:00;ВПС ЕЛЕКТРУМ, ВПС FLASHPAY;ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1010024;18006, Черкаська обл., місто Черкаси, Придніпровський район, ВУЛИЦЯ ГОГОЛЯ, будинок 582;31/07 від 20.07.2016;40683612;ПН-ПТ: 9:00-19:00, СБ: 9:00-17:00;ВПС ЕЛЕКТРУМ, ВПС FLASHPAY;ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1010025;19701, Черкаська обл., місто Золотоноша, ВУЛИЦЯ ШЕВЧЕНКА, будинок 153;31/07 від 20.07.2016;40683628;не працює;ВПС ЕЛЕКТРУМ, ВПС FLASHPAY;ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1010026;69014, Запорізька обл., м.Запоріжжя, Шевченківський р-н., вул.Карпенка-Карого, 54;31/07 від 20.07.2016;40683633;ПН-ПТ: 8:00-20:00, СБ: 8:00-17:00;ВПС ЕЛЕКТРУМ, ВПС FLASHPAY;ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1010027;39610, Полтавська обл., місто Кременчук, Крюківський район, ПРОСПЕКТ СВОБОДИ, будинок 172;31/07 від 20.07.2016;40683649;ПН-ПТ: 8:30-18:30, СБ: 9:00-17:00;ВПС ЕЛЕКТРУМ, ВПС FLASHPAY;ВПС ЕЛЕКТРУМ
