Найменування відокремленного підрозділу та ПНФП;Адреса;Дата та номер рішення про створення;ЄДРПОУ;Режим роботи;Платежі приймаються в Платіжній системі;Платежі виплачуються  в Платіжній системі
ПНФП ВІДДІЛЕННЯ №1010205;51909, Дніпропетровська  обл., м.Кам`янське, провулок Цегляний, 19;118/03/05 від 02.03.2021;;ПН-ПТ: 9:00-18:00, СБ: 9:00-15:00;ВПС ЕЛЕКТРУМ, ВПС FLASHPAY;ВПС ЕЛЕКТРУМ
ПНФП ВІДДІЛЕННЯ №1010206;29025, Хмельницька  обл., м.Хмельницький, вул.Курчатова 117-А;118/03/05 від 02.03.2021;;ПН-ПТ: 9:00-19:00, СБ: 9:00-17:00;ВПС ЕЛЕКТРУМ, ВПС FLASHPAY;ВПС ЕЛЕКТРУМ
ПНФП ВІДДІЛЕННЯ №1010207;51206, Дніпропетровська  обл., м.Новомосковськ, вул.Микити Головка , 12;118/03/05 від 02.03.2021;;ПН-ПТ: 9:00-18:00, СБ: 9:00-15:00;ВПС ЕЛЕКТРУМ, ВПС FLASHPAY;ВПС ЕЛЕКТРУМ
ПНФП ВІДДІЛЕННЯ №1010208;36008, Полтавська  обл., м.Полтава, Шевченківський р-н., вул.Комарова, 5;118/03/05 від 02.03.2021;;ПН-ПТ: 9:00-18:00, СБ: 9:00-17:00;ВПС ЕЛЕКТРУМ, ВПС FLASHPAY;ВПС ЕЛЕКТРУМ
ПНФП ВІДДІЛЕННЯ №1010209;68001, Одеська  обл., м.Чорноморськ, вул.Транспортна, 14;118/03/05 від 02.03.2021;;ПН-ПТ: 9:00-18:00, СБ: 9:00-15:00;ВПС ЕЛЕКТРУМ, ВПС FLASHPAY;ВПС ЕЛЕКТРУМ
ПНФП ВІДДІЛЕННЯ №1010210;44000, Волинська  обл., Шацький р-н., м.Шацьк, вул.50 років Перемоги, 6;118/03/05 від 02.03.2021;;не працює;ВПС ЕЛЕКТРУМ, ВПС FLASHPAY;ВПС ЕЛЕКТРУМ
ПНФП ВІДДІЛЕННЯ №1010211;61001, Харківська обл., м.Харків, Слобідський р-н., вул.Польова, 83;183/04/05 від 05.04.2021;;ПН-ПТ: 9:00-19:00, СБ: 9:00-15:00;ВПС ЕЛЕКТРУМ, ВПС FLASHPAY;ВПС ЕЛЕКТРУМ
ПНФП ВІДДІЛЕННЯ №1010212;22000, Вінницька обл., м. Хмільник, вул.Монастирська, 8-А;183/04/05 від 05.04.2021;;ПН-ПТ: 9:00-18:00, СБ: 9:00-15:00;ВПС ЕЛЕКТРУМ, ВПС FLASHPAY;ВПС ЕЛЕКТРУМ
ПНФП ВІДДІЛЕННЯ №1010213;78208, Івано-Франківська обл., м.Коломия, вул.Симоненка, 1-Г;573/09/05 від 20.09.2021;;ПН-ПТ: 9:00-18:00, СБ: 9:00-15:00;ВПС ЕЛЕКТРУМ, ВПС FLASHPAY;ВПС ЕЛЕКТРУМ
ПНФП ВІДДІЛЕННЯ №1010214;07101, Київська обл., м.Славутич, вул.Чернігівська, 10;183/04/05 від 05.04.2021;;ПН-ПТ: 9:00-18:00, СБ: 9:00-15:00;ВПС ЕЛЕКТРУМ, ВПС FLASHPAY;ВПС ЕЛЕКТРУМ
ПНФП ВІДДІЛЕННЯ №1010215;49098, Дніпропетровська обл., м.Дніпро, Амур-Нижньодніпровський р-н., вул.Любарського, 159;183/04/05 від 05.04.2021;;ПН-ПТ: 9:00-19:00, СБ: 9:00-15:00;ВПС ЕЛЕКТРУМ, ВПС FLASHPAY;ВПС ЕЛЕКТРУМ
ПНФП ВІДДІЛЕННЯ №1010216;20901, Черкаська обл., Чигиринський р-н., м.Чигирин, вул.Грушевського, 16-А;183/04/05 від 05.04.2021;;не працює;ВПС ЕЛЕКТРУМ, ВПС FLASHPAY;ВПС ЕЛЕКТРУМ
ПНФП ВІДДІЛЕННЯ №1010217;37000, Полтавська обл., Пирятинський р-н., м.Пирятин, вул.Ярмаркова, 28;183/04/05 від 05.04.2021;;ПН-ПТ: 9:00-18:00, СБ: 9:00-15:00;ВПС ЕЛЕКТРУМ, ВПС FLASHPAY;ВПС ЕЛЕКТРУМ
ПНФП ВІДДІЛЕННЯ №1010218;66302, Одеська обл., м.Подільськ, вул.Успенська, 14-А;183/04/05 від 05.04.2021;;ПН-ПТ: 9:00-18:00, СБ: 9:00-15:00;ВПС ЕЛЕКТРУМ, ВПС FLASHPAY;ВПС ЕЛЕКТРУМ
ПНФП ВІДДІЛЕННЯ №1010219;55213, Миколаївська обл., м.Первомайськ, вул.Вокзальна, 34;183/04/05 від 05.04.2021;;ПН-ПТ: 9:00-18:00, СБ: 9:00-15:00;ВПС ЕЛЕКТРУМ, ВПС FLASHPAY;ВПС ЕЛЕКТРУМ
ПНФП ВІДДІЛЕННЯ №1010220;73034, Херсонська обл., м.Херсон, Корабельний р-н., вул.Робоча, 82-А;183/04/05 від 05.04.2021;;ПН-ПТ: 9:00-18:00, СБ: 9:00-15:00;ВПС ЕЛЕКТРУМ, ВПС FLASHPAY;ВПС ЕЛЕКТРУМ
ПНФП ВІДДІЛЕННЯ №1010221;78103, Івано-Франківська обл., Городенківський р-н.,м.Городенка, вул.Затишна, 36;209/04/05 від 20.04.2021;;ПН-ПТ: 9:00-18:00, СБ: 9:00-15:00;ВПС ЕЛЕКТРУМ, ВПС FLASHPAY;ВПС ЕЛЕКТРУМ
ПНФП ВІДДІЛЕННЯ №1010222;47101, Тернопільська обл., Шумський р-н., м.Шумськ, вул. Вілійська, 6-Г;209/04/05 від 20.04.2021;;не працює;ВПС ЕЛЕКТРУМ, ВПС FLASHPAY;ВПС ЕЛЕКТРУМ
ПНФП ВІДДІЛЕННЯ №1010223;84511, Донецька обл., м.Бахмут, вул.Різдвяна, 27;209/04/05 від 20.04.2021;;ПН-ПТ: 9:00-18:00, СБ: 9:00-17:00;ВПС ЕЛЕКТРУМ, ВПС FLASHPAY;ВПС ЕЛЕКТРУМ
ПНФП ВІДДІЛЕННЯ №1010224;08001, Київська обл., Макарівський р-н., м.Макарів, вул.Гагаріна, 8;209/04/05 від 20.04.2021;;ПН-ПТ: 9:00-18:00, СБ: 9:00-15:00;ВПС ЕЛЕКТРУМ, ВПС FLASHPAY;ВПС ЕЛЕКТРУМ
ПНФП ВІДДІЛЕННЯ №1010225;70504, Запорізька обл., Оріхівський р-н., м.Оріхів, вул.Марії Сокіл, 28;209/04/05 від 20.04.2021;;ПН-ПТ: 9:00-18:00, СБ: 9:00-15:00;ВПС ЕЛЕКТРУМ, ВПС FLASHPAY;ВПС ЕЛЕКТРУМ
ПНФП ВІДДІЛЕННЯ №1010226;61000, Харківська обл., м.Харків, Холодногірський р-н., вул.Кононенка, ряд 21-А, місце 7;246/05/05 від 05.05.2021;;ВТ-ПТ: 9:00-16:00, СБ: 9:00-15:00, НД: 9:00-13:00;ВПС ЕЛЕКТРУМ, ВПС FLASHPAY;ВПС ЕЛЕКТРУМ
ПНФП ВІДДІЛЕННЯ №1010227;13306, Житомирська обл., Бердичівський р-н., м.Бердичів, вул.Привокзальна, 3;246/05/05 від 05.05.2021;;ПН-ПТ: 9:00-18:00, СБ: 9:00-15:00;ВПС ЕЛЕКТРУМ, ВПС FLASHPAY;ВПС ЕЛЕКТРУМ
ПНФП ВІДДІЛЕННЯ №1010228;Вінницька обл., Ямпільський р-н. м.Ямпіль, вулиця Богдана Хмельницького, 44/84;246/05/05 від 05.05.2021;;ПН-ПТ: 9:00-18:00, СБ: 9:00-15:00;ВПС ЕЛЕКТРУМ, ВПС FLASHPAY;ВПС ЕЛЕКТРУМ
ПНФП ВІДДІЛЕННЯ №1010229;08623, Київська обл., Фастівський  р-н., смт.Калинівка, вул.Залізнична, 164;246/05/05 від 05.05.2021;;ПН-ПТ: 9:00-19:00, СБ: 9:00-15:00;ВПС ЕЛЕКТРУМ, ВПС FLASHPAY;ВПС ЕЛЕКТРУМ
ПНФП ВІДДІЛЕННЯ №1010230;53407, Дніпропетровська обл., Нікопольський р-н., м.Марганець, вул.Кленова, 12-А;246/05/05 від 05.05.2021;;ПН-ПТ: 9:00-18:00, СБ: 9:00-15:00;ВПС ЕЛЕКТРУМ, ВПС FLASHPAY;ВПС ЕЛЕКТРУМ
ПНФП ВІДДІЛЕННЯ №1010231;51937, Дніпропетровська обл., м.Кам`янське, Дніпровський р-н.,  проспект Наддніпрянський, 1-Б;246/05/05 від 05.05.2021;;не працює;ВПС ЕЛЕКТРУМ, ВПС FLASHPAY;ВПС ЕЛЕКТРУМ
ПНФП ВІДДІЛЕННЯ №1010232;37600, Полтавська обл., Миргородський р-н., м.Миргород, вул.Данила Апостола, 38;246/05/05 від 05.05.2021;;ПН-ПТ: 9:00-18:00, СБ: 9:00-15:00;ВПС ЕЛЕКТРУМ, ВПС FLASHPAY;ВПС ЕЛЕКТРУМ
ПНФП ВІДДІЛЕННЯ №1010233;14013, Чернігівська обл., м.Чернігів, Деснянський р-н., вул.Любомира Боднарука, 28;246/05/05 від 05.05.2021;;ПН-ПТ: 9:00-18:00, СБ: 9:00-15:00;ВПС ЕЛЕКТРУМ, ВПС FLASHPAY;ВПС ЕЛЕКТРУМ
ПНФП ВІДДІЛЕННЯ №1010234;68702, Одеська обл., Болградський р-н., м.Болград, проспект Соборний, 108;246/05/05 від 05.05.2021;;ПН-ПТ: 9:00-18:00, СБ: 9:00-15:00;ВПС ЕЛЕКТРУМ, ВПС FLASHPAY;ВПС ЕЛЕКТРУМ
ПНФП ВІДДІЛЕННЯ №1010235;67400, Одеська обл., Роздільнянський р-н., м.Роздільна, вул.Європейська, 52;246/05/05 від 05.05.2021;;ПН-ПТ: 9:00-18:00, СБ: 9:00-15:00;ВПС ЕЛЕКТРУМ, ВПС FLASHPAY;ВПС ЕЛЕКТРУМ
ПНФП ВІДДІЛЕННЯ №1010236;12501, Житомирська обл., Житомирський  р-н., м.Коростишів, вул.Героїв небесної сотні, 68;246/05/05 від 05.05.2021;;ПН-ПТ: 9:00-18:00, СБ: 9:00-15:00;ВПС ЕЛЕКТРУМ, ВПС FLASHPAY;ВПС ЕЛЕКТРУМ
ПНФП ВІДДІЛЕННЯ №1010237;84331, Донецька обл., м.Краматорськ, вул.Ювілейна, 70;246/05/05 від 05.05.2021;;ПН-ПТ: 9:00-18:00, СБ: 9:00-17:00;ВПС ЕЛЕКТРУМ, ВПС FLASHPAY;ВПС ЕЛЕКТРУМ
ПНФП ВІДДІЛЕННЯ №1010238;81300, Львівська обл., Мостиський р-н., м.Мостиська, вул.Зелена 7-А;259/05/05 від 17.05.2021;;ПН-ПТ: 9:00-18:00, СБ: 9:00-15:00;ВПС ЕЛЕКТРУМ, ВПС FLASHPAY;ВПС ЕЛЕКТРУМ
ПНФП ВІДДІЛЕННЯ №1010239;81100, Львівська обл., Пустомитівський р-н., м.Пустомити, вул.Грушевського, 92;259/05/05 від 17.05.2021;;ПН-ПТ: 9:00-18:00, СБ: 9:00-15:00;ВПС ЕЛЕКТРУМ, ВПС FLASHPAY;ВПС ЕЛЕКТРУМ
ПНФП ВІДДІЛЕННЯ №1010240;38500, Полтавська обл., Диканський р-н., смт.Диканька, вул.Незалежності, 58/1;259/05/05 від 17.05.2021;;ПН-ПТ: 9:00-18:00, СБ: 9:00-15:00;ВПС ЕЛЕКТРУМ, ВПС FLASHPAY;ВПС ЕЛЕКТРУМ
ПНФП ВІДДІЛЕННЯ №1010241;68200, Одеська обл., Саратський р-н., смт.Сарата, вул.Чкалова, 50/1;259/05/05 від 17.05.2021;;ПН-ПТ: 9:00-18:00, СБ: 9:00-15:00;ВПС ЕЛЕКТРУМ, ВПС FLASHPAY;ВПС ЕЛЕКТРУМ
ПНФП ВІДДІЛЕННЯ №1010242;62400, Харківська обл., Харківський р-н., м.Мерефа, вул.Дніпропетровська, 185-З;259/05/05 від 17.05.2021;;ПН-ПТ: 9:00-18:00, СБ: 9:00-15:00;ВПС ЕЛЕКТРУМ, ВПС FLASHPAY;ВПС ЕЛЕКТРУМ
ПНФП ВІДДІЛЕННЯ №1010243;80400, Львівська обл., Львівський р-н.,  м.Кам`янка-Бузька, вул.Генерала Чупринки, 15;259/05/05 від 17.05.2021;;ПН-ПТ: 9:00-18:00, СБ: 9:00-15:00;ВПС ЕЛЕКТРУМ, ВПС FLASHPAY;ВПС ЕЛЕКТРУМ
ПНФП ВІДДІЛЕННЯ №1010244;80700, Львівська обл., Золочівський р-н., м.Золочів, вул.Труша, 2-А;259/05/05 від 17.05.2021;;не працює;ВПС ЕЛЕКТРУМ, ВПС FLASHPAY;ВПС ЕЛЕКТРУМ
ПНФП ВІДДІЛЕННЯ №1010245;84205, Донецька обл., м. Дружківка, вул. Чайковського, 12;308/06/05 від 02.06.2021;;ПН-ПТ: 9:00-18:00, СБ: 9:00-17:00;ВПС ЕЛЕКТРУМ, ВПС FLASHPAY;ВПС ЕЛЕКТРУМ
ПНФП ВІДДІЛЕННЯ №1010246;30405, Хмельницька обл., Шепетівський р-н., м.Шепетівка, вул.Героїв Небесної Сотні, 78;308/06/05 від 02.06.2021;;ПН-ПТ: 9:00-18:00, СБ: 9:00-15:00;ВПС ЕЛЕКТРУМ, ВПС FLASHPAY;ВПС ЕЛЕКТРУМ
ПНФП ВІДДІЛЕННЯ №1010247;80383,  Львівська обл., Львівський р-н., с.Малехів, вул. ім.Тараса Козака, 20;308/06/05 від 02.06.2021;;ПН-ПТ: 9:00-18:00, СБ: 9:00-17:00;ВПС ЕЛЕКТРУМ, ВПС FLASHPAY;ВПС ЕЛЕКТРУМ
ПНФП ВІДДІЛЕННЯ №1010248;35312, Рівненська обл., Рівненський р-н., смт.Клевань, вул.Залізнична, 4-Г;308/06/05 від 02.06.2021;;ПН-ПТ: 9:00-18:00, СБ: 9:00-15:00;ВПС ЕЛЕКТРУМ, ВПС FLASHPAY;ВПС ЕЛЕКТРУМ
ПНФП ВІДДІЛЕННЯ №1010249;50019, Дніпропетровська обл., Кам`янський р-н., м.Жовті Води, вул.Заводська, 1/1;308/06/05 від 02.06.2021;;не працює;ВПС ЕЛЕКТРУМ, ВПС FLASHPAY;ВПС ЕЛЕКТРУМ
ПНФП ВІДДІЛЕННЯ №1010250;51700, Дніпропетровська обл., м.Вільногірськ, вул.Степова, 9;308/06/05 від 02.06.2021;;не працює;ВПС ЕЛЕКТРУМ, ВПС FLASHPAY;ВПС ЕЛЕКТРУМ
ПНФП ВІДДІЛЕННЯ №1010251;65074, Одеська обл., м.Одеса, Малиновський р-н., вул.Шота Руставелі, 7;308/06/05 від 02.06.2021;;ПН-ПТ: 9:00-18:00, СБ: 9:00-15:00;ВПС ЕЛЕКТРУМ, ВПС FLASHPAY;ВПС ЕЛЕКТРУМ
ПНФП ВІДДІЛЕННЯ №1010252;73485, Херсонська обл., м.Херсон, Дніпровський р-н., провулок Янтарний, 1;308/06/05 від 02.06.2021;;ПН-ПТ: 9:00-18:00, СБ: 9:00-15:00;ВПС ЕЛЕКТРУМ, ВПС FLASHPAY;ВПС ЕЛЕКТРУМ
ПНФП ВІДДІЛЕННЯ №1010253;84122, Донецька обл., м.Слов`янськ, вул.Центральна, 65;308/06/05 від 02.06.2021;;ПН-ПТ: 9:00-18:00, СБ: 9:00-17:00;ВПС ЕЛЕКТРУМ, ВПС FLASHPAY;ВПС ЕЛЕКТРУМ
ПНФП ВІДДІЛЕННЯ №1010254;11104, Житомирська обл., Коростенський р-н., м.Овруч, вул.Рєпкіна, 14;308/06/05 від 02.06.2021;;ПН-ПТ: 9:00-18:00, СБ: 9:00-15:00;ВПС ЕЛЕКТРУМ, ВПС FLASHPAY;ВПС ЕЛЕКТРУМ
ПНФП ВІДДІЛЕННЯ №1010255;82300, Львівська обл., Дрогобицький р-н., м.Борислав, вул.Дрогобицька,7;308/06/05 від 02.06.2021;;ПН-ПТ: 9:00-18:00, СБ: 9:00-15:00;ВПС ЕЛЕКТРУМ, ВПС FLASHPAY;ВПС ЕЛЕКТРУМ
ПНФП ВІДДІЛЕННЯ №1010256;66401, Одеська обл., Ананьївський р-н., м.Ананьїв, вул.Нищинського, 1;308/06/05 від 02.06.2021;;ПН-ПТ: 8:00-17:00, СБ: 8:00-14:00;ВПС ЕЛЕКТРУМ, ВПС FLASHPAY;ВПС ЕЛЕКТРУМ
ПНФП ВІДДІЛЕННЯ №1010257;92801, Луганська обл., Старобільський р-н., смт.Біловодськ, вул.Центральна, 206-А;308/06/05 від 02.06.2021;;ПН-ПТ: 9:00-18:00, СБ: 9:00-15:00;ВПС ЕЛЕКТРУМ, ВПС FLASHPAY;ВПС ЕЛЕКТРУМ
ПНФП ВІДДІЛЕННЯ №1010258;08290, Київська обл., Бучанський р-н., смт.Гостомель, вул.Свято-Покровська, 108-А;340/06/05 від 14.06.2021;;не працює;ВПС ЕЛЕКТРУМ, ВПС FLASHPAY;ВПС ЕЛЕКТРУМ
ПНФП ВІДДІЛЕННЯ №1010259;22100, Вінницька обл., м.Козятин, вул.Пилипа Орлика, 12;340/06/05 від 14.06.2021;;ПН-ПТ: 9:00-18:00, СБ: 9:00-15:00;ВПС ЕЛЕКТРУМ, ВПС FLASHPAY;ВПС ЕЛЕКТРУМ
ПНФП ВІДДІЛЕННЯ №1010260;09801, Київська обл., Білоцерківський р-н., м.Тетіїв, вул.Центральна, 47;340/06/05 від 14.06.2021;;ПН-ПТ: 9:00-18:00, СБ: 9:00-15:00;ВПС ЕЛЕКТРУМ, ВПС FLASHPAY;ВПС ЕЛЕКТРУМ
ПНФП ВІДДІЛЕННЯ №1010261;75600, Херсонська обл., Скадовський р-н., м.Гола Пристань, вул.1-го Травня, 29-А;355/06/05 від 22.06.2021;;ПН-ПТ: 9:00-18:00, СБ: 9:00-15:00;ВПС ЕЛЕКТРУМ, ВПС FLASHPAY;ВПС ЕЛЕКТРУМ
ПНФП ВІДДІЛЕННЯ №1010262;48601, Тернопільська обл., Чортківський -р-н., м.Заліщики, вул.Стефаника, 26;355/06/05 від 22.06.2021;;ПН-ПТ: 9:00-18:00, СБ: 9:00-15:00;ВПС ЕЛЕКТРУМ, ВПС FLASHPAY;ВПС ЕЛЕКТРУМ
ПНФП ВІДДІЛЕННЯ №1010263;81070, Львівська обл., Яворівський -р-н., м.Івано-Франкове, вул.Львівська, 55;355/06/05 від 22.06.2021;;ПН-ПТ: 9:00-18:00, СБ: 9:00-15:00;ВПС ЕЛЕКТРУМ, ВПС FLASHPAY;ВПС ЕЛЕКТРУМ
ПНФП ВІДДІЛЕННЯ №1010264;78601, Івано-Франківська обл., Косівський р-н., м.Косів, вул.Грушевського, 1;355/06/05 від 22.06.2021;;ПН-ПТ: 9:00-18:00, СБ: 9:00-15:00;ВПС ЕЛЕКТРУМ, ВПС FLASHPAY;ВПС ЕЛЕКТРУМ
ПНФП ВІДДІЛЕННЯ №1010265;12701, Житомирська обл., Новоград-Волинський р-н., м.Баранівка, вул.Першотравнева, 17;355/06/05 від 22.06.2021;;ПН-ПТ: 9:00-18:00, СБ: 9:00-15:00;ВПС ЕЛЕКТРУМ, ВПС FLASHPAY;ВПС ЕЛЕКТРУМ
ПНФП ВІДДІЛЕННЯ №1010266;34600, Рівненська обл., Рівненський -р-н., м.Березне, вул.Зірненська, 24/287;355/06/05 від 22.06.2021;;ПН-ПТ: 9:00-18:00, СБ: 9:00-15:00;ВПС ЕЛЕКТРУМ, ВПС FLASHPAY;ВПС ЕЛЕКТРУМ
ПНФП ВІДДІЛЕННЯ №1010267;61054, Харківська обл., м.Харків, Київський р-н., Ринок Барабашова (6), павільон С-011-21;355/06/05 від 22.06.2021;;не працює;ВПС ЕЛЕКТРУМ, ВПС FLASHPAY;ВПС ЕЛЕКТРУМ
ПНФП ВІДДІЛЕННЯ №1010268;85001, Донецька обл., Покровський р-н., м.Добропілля, вул.Фестивальна, 5;426/07/05 від 19.07.2021;;ПН-ПТ: 9:00-18:00, СБ: 9:00-17:00;ВПС ЕЛЕКТРУМ, ВПС FLASHPAY;ВПС ЕЛЕКТРУМ
ПНФП ВІДДІЛЕННЯ №1010269;85670, Донецька обл., Волноваський р-н., м.Вугледар, вул.Шахтарська,3;426/07/05 від 19.07.2021;;ПН-ПТ: 9:00-18:00, СБ: 9:00-17:00;ВПС ЕЛЕКТРУМ, ВПС FLASHPAY;ВПС ЕЛЕКТРУМ
ПНФП ВІДДІЛЕННЯ №1010270;92603, Луганська обл., Сватівський р-н., м.Сватове, вул.Дружби, 12;426/07/05 від 19.07.2021;;ПН-ПТ: 9:00-18:00, СБ: 9:00-17:00;ВПС ЕЛЕКТРУМ, ВПС FLASHPAY;ВПС ЕЛЕКТРУМ
ПНФП ВІДДІЛЕННЯ №1010271;21036, Вінницька обл., м.Вінниця, вул.Максимовича, 33;426/07/05 від 19.07.2021;;ПН-ПТ: 9:00-18:00, СБ: 9:00-15:00;ВПС ЕЛЕКТРУМ, ВПС FLASHPAY;ВПС ЕЛЕКТРУМ
ПНФП ВІДДІЛЕННЯ №1010272;63503, Харківська обл, Чугуївський р-н., м.Чугуїв, вул.Жадановського,13;426/07/05 від 19.07.2021;;ПН-ПТ: 9:00-18:00, СБ: 9:00-15:00;ВПС ЕЛЕКТРУМ, ВПС FLASHPAY;ВПС ЕЛЕКТРУМ
ПНФП ВІДДІЛЕННЯ №1010273;08500, Київська обл., Фастівський р-н., м.Фастів, вул.Київська, 34;426/07/05 від 19.07.2021;;не працює;ВПС ЕЛЕКТРУМ, ВПС FLASHPAY;ВПС ЕЛЕКТРУМ
ПНФП ВІДДІЛЕННЯ №1010274;50019, Дніпропетровська обл., м.Кривий Ріг, Центрально-Міський р-н., вул.Купріна, 116-Д;426/07/05 від 19.07.2021;;ПН-ПТ: 9:00-18:00, СБ: 9:00-15:00;ВПС ЕЛЕКТРУМ, ВПС FLASHPAY;ВПС ЕЛЕКТРУМ
ПНФП ВІДДІЛЕННЯ №1010275;53304, Дніпропетровська обл., Нікопольський р-н., м.Покров, вул.Чехова, 2;426/07/05 від 19.07.2021;;ПН-ПТ: 8:00-17:00, СБ: 8:00-14:00;ВПС ЕЛЕКТРУМ, ВПС FLASHPAY;ВПС ЕЛЕКТРУМ
ПНФП ВІДДІЛЕННЯ №1010276;68803, Одеська обл., Ізмаїльський р-н. м.Рені, вул.Спортивна, 11-А;426/07/05 від 19.07.2021;;ПН-ПТ: 9:00-18:00, СБ: 9:00-15:00;ВПС ЕЛЕКТРУМ, ВПС FLASHPAY;ВПС ЕЛЕКТРУМ
ПНФП ВІДДІЛЕННЯ №1010277;42400, Сумська обл., Сумський р-н., смт.Краснопілля, вул.Вокзальна, 46;426/07/05 від 19.07.2021;;ПН-ПТ: 9:00-18:00, СБ: 9:00-15:00;ВПС ЕЛЕКТРУМ, ВПС FLASHPAY;ВПС ЕЛЕКТРУМ
ПНФП ВІДДІЛЕННЯ №1010278;52400, Дніпропетровська обл., Дніпровський р-н. смт.Солоне, вул.Гагаріна, 29-А;426/07/05 від 19.07.2021;;ПН-ПТ: 9:00-18:00, СБ: 9:00-15:00;ВПС ЕЛЕКТРУМ, ВПС FLASHPAY;ВПС ЕЛЕКТРУМ
ПНФП ВІДДІЛЕННЯ №1010279;49064, Дніпропетровська обл., м.Дніпро, Новокодацький р-н., вул.Мічуріна, 4;426/07/05 від 19.07.2021;;ПН-ПТ: 9:00-18:00, СБ: 9:00-15:00;ВПС ЕЛЕКТРУМ, ВПС FLASHPAY;ВПС ЕЛЕКТРУМ
ПНФП ВІДДІЛЕННЯ №1010280;55601, Миколаївська обл., Баштанський р-н.  м.Новий Буг, вул.Грушевського, 20;426/07/05 від 19.07.2021;;ПН-ПТ: 9:00-18:00, СБ: 9:00-15:00;ВПС ЕЛЕКТРУМ, ВПС FLASHPAY;ВПС ЕЛЕКТРУМ
ПНФП ВІДДІЛЕННЯ №1010281;19101, Черкаська обл., Уманський р-н., м.Монастирище, вул.Дружби, 36;426/07/05 від 19.07.2021;;ПН-ПТ: 9:00-18:00, СБ: 9:00-15:00;ВПС ЕЛЕКТРУМ, ВПС FLASHPAY;ВПС ЕЛЕКТРУМ
ПНФП ВІДДІЛЕННЯ №1010282;78701, Івано-Франківська обл., Верховинський р-н., смт.Верховина, вул.Гуцульського повстання, 13;434/07/05 від 21.07.2021;;ПН-ПТ: 9:00-18:00, СБ: 9:00-15:00;ВПС ЕЛЕКТРУМ, ВПС FLASHPAY;ВПС ЕЛЕКТРУМ
ПНФП ВІДДІЛЕННЯ №1010283;90100, Закарпатська обл., Хустський р-н., м.Іршава, вул.Федорова, 29/2;434/07/05 від 21.07.2021;;ПН-ПТ: 9:00-18:00, СБ: 9:00-15:00;ВПС ЕЛЕКТРУМ, ВПС FLASHPAY;ВПС ЕЛЕКТРУМ
ПНФП ВІДДІЛЕННЯ №1010284;65005, Одеська обл., м.Одеса, Малиновський р-н., вул.Бугаївська, 41-А;475/08/05 від 09.08.2021;;не працює;ВПС ЕЛЕКТРУМ, ВПС FLASHPAY;ВПС ЕЛЕКТРУМ
ПНФП ВІДДІЛЕННЯ №1010285;24321, Вінницька обл., Гайсинський р-н., м.Ладижин, вул.Піонерська, 29;475/08/05 від 09.08.2021;;ПН-ПТ: 9:00-18:00, СБ: 9:00-15:00;ВПС ЕЛЕКТРУМ, ВПС FLASHPAY;ВПС ЕЛЕКТРУМ
ПНФП ВІДДІЛЕННЯ №1010286;35705, Рівненська обл., Рівненський р-н., м.Здолбунів, вул.Пушкіна, 1;475/08/05 від 09.08.2021;;не працює;ВПС ЕЛЕКТРУМ, ВПС FLASHPAY;ВПС ЕЛЕКТРУМ
ПНФП ВІДДІЛЕННЯ №1010287;37800, Полтавська обл., Лубенський р-н., м.Хорол, вул.Шевченка, 34;475/08/05 від 09.08.2021;;ПН-ПТ: 9:00-18:00, СБ: 9:00-15:00;ВПС ЕЛЕКТРУМ, ВПС FLASHPAY;ВПС ЕЛЕКТРУМ
ПНФП ВІДДІЛЕННЯ №1010288;38400, Полтавська обл., Полтавський р-н., м.Решетилівка, вул.Полтавська, 2;475/08/05 від 09.08.2021;;ПН-ПТ: 9:00-18:00, СБ: 9:00-15:00;ВПС ЕЛЕКТРУМ, ВПС FLASHPAY;ВПС ЕЛЕКТРУМ
ПНФП ВІДДІЛЕННЯ №1010289;60200, Чернівецька обл., Дністровський р-н., м.Сокиряни, вул.Коцюбинського, 4;475/08/05 від 09.08.2021;;ПН-ПТ: 9:00-18:00, СБ: 9:00-15:00;ВПС ЕЛЕКТРУМ, ВПС FLASHPAY;ВПС ЕЛЕКТРУМ
ПНФП ВІДДІЛЕННЯ №1010290;08400, Київська обл., Бориспільський р-н., м.Переяслав,  вул.Героїв Дніпра, ЗЗ;475/08/05 від 09.08.2021;;ПН-ПТ: 9:00-19:00, СБ: 9:00-17:00;ВПС ЕЛЕКТРУМ, ВПС FLASHPAY;ВПС ЕЛЕКТРУМ
ПНФП ВІДДІЛЕННЯ №1010291;61070, Харківська обл., м.Харків, Київський р-н., вул.Шевченка, 327;475/08/05 від 09.08.2021;;не працює;ВПС ЕЛЕКТРУМ, ВПС FLASHPAY;ВПС ЕЛЕКТРУМ
ПНФП ВІДДІЛЕННЯ №1010292;90400, Закарпатська обл., Хустський р-н., м.Хуст, вул.Гвардійська, 122-124;475/08/05 від 09.08.2021;;не працює;ВПС ЕЛЕКТРУМ, ВПС FLASHPAY;ВПС ЕЛЕКТРУМ
ПНФП ВІДДІЛЕННЯ №1010293;03134, м.Київ, Святошинський р-н., вул.Якутська, 8;502/08/05 від 25.08.2021;;ПН-ПТ: 9:00-19:00, СБ: 9:00-15:00;ВПС ЕЛЕКТРУМ, ВПС FLASHPAY;ВПС ЕЛЕКТРУМ
