num;department;termial;serial_number;address;datalog;kind
210;1010006;10100069;FK80231080;65001, Одеська обл., місто Одеса, Суворовський район, ВУЛИЦЯ ЧОРНОМОРСЬКОГО КОЗАЦТВА, будинок 80;21.01.2022;rro
211;1010007;10100071;КС00002334;36000, Полтавська обл., місто Полтава, Київський район, ВУЛ. ПОЛОВКА, будинок 68;21.01.2022;rro
212;1010007;10100072;FK80230800;36000, Полтавська обл., місто Полтава, Київський район, ВУЛ. ПОЛОВКА, будинок 68;21.01.2022;rro
213;1010007;10100073;FK80230960;36000, Полтавська обл., місто Полтава, Київський район, ВУЛ. ПОЛОВКА, будинок 68;21.01.2022;rro
214;1010007;10100074;FK80231068;36000, Полтавська обл., місто Полтава, Київський район, ВУЛ. ПОЛОВКА, будинок 68;21.01.2022;rro
215;1010007;10100075;FK80230669;36000, Полтавська обл., місто Полтава, Київський район, ВУЛ. ПОЛОВКА, будинок 68;21.01.2022;rro
216;1010007;10100076;FK80230674;36000, Полтавська обл., місто Полтава, Київський район, ВУЛ. ПОЛОВКА, будинок 68;21.01.2022;rro
217;1010007;10100077;FK80230828;36000, Полтавська обл., місто Полтава, Київський район, ВУЛ. ПОЛОВКА, будинок 68;21.01.2022;rro
218;1010007;10100078;FK80230680;36000, Полтавська обл., місто Полтава, Київський район, ВУЛ. ПОЛОВКА, будинок 68;21.01.2022;rro
219;1010007;10100079;FK80230888;36000, Полтавська обл., місто Полтава, Київський район, ВУЛ. ПОЛОВКА, будинок 68;21.01.2022;rro
220;1010008;10100081;КС00002329;85301, Донецька обл., місто Покровськ, ВУЛИЦЯ ШМІДТА, будинок 202;21.01.2022;rro
221;1010008;10100082;FK80230683;85301, Донецька обл., місто Покровськ, ВУЛИЦЯ ШМІДТА, будинок 202;21.01.2022;rro
222;1010008;10100083;FK80230920;85301, Донецька обл., місто Покровськ, ВУЛИЦЯ ШМІДТА, будинок 202;21.01.2022;rro
223;1010008;10100084;FK80230687;85301, Донецька обл., місто Покровськ, ВУЛИЦЯ ШМІДТА, будинок 202;21.01.2022;rro
224;1010008;10100086;FK80230688;85301, Донецька обл., місто Покровськ, ВУЛИЦЯ ШМІДТА, будинок 202;21.01.2022;rro
225;1010001;10100019;FK80230609;61000, Харківська обл., місто Харків, Немишлянський район, ПРОСПЕКТ МОСКОВСЬКИЙ, будинок 247А;21.01.2022;rro
226;1010001;10100018;FK80230608;61000, Харківська обл., місто Харків, Немишлянський район, ПРОСПЕКТ МОСКОВСЬКИЙ, будинок 247А;21.01.2022;rro
227;1010001;10100017;FK80230605;61000, Харківська обл., місто Харків, Немишлянський район, ПРОСПЕКТ МОСКОВСЬКИЙ, будинок 247А;21.01.2022;rro
228;1010001;10100016;FK80230809;61000, Харківська обл., місто Харків, Немишлянський район, ПРОСПЕКТ МОСКОВСЬКИЙ, будинок 247А;21.01.2022;rro
229;1010001;10100015;FK80230604;61000, Харківська обл., місто Харків, Немишлянський район, ПРОСПЕКТ МОСКОВСЬКИЙ, будинок 247А;21.01.2022;rro
