num;department;termial;serial_number;address;datalog;kind
79;10101101;1010110;КМ00004833;08304, Київська обл., місто Бориспіль, ВУЛИЦЯ ГОЛОВАТОГО, будинок 83;2022.01.17;rro
80;10100012;1010001;FK80230649;61000, Харківська обл., місто Харків, Немишлянський район, ПРОСПЕКТ МОСКОВСЬКИЙ, будинок 247А;2022.01.22;pereezd
81;10100012;1010001;FK80230649;61000, Харківська обл., місто Харків, Немишлянський район, ПРОСПЕКТ МОСКОВСЬКИЙ, будинок 247А;2022.01.22;rro
82;10100012;1010001;FK80230649;61000, Харківська обл., місто Харків, Немишлянський район, ПРОСПЕКТ МОСКОВСЬКИЙ, будинок 247А;2022.01.22;prro
83;10100011;1010001;КС00002392;61000, Харківська обл., місто Харків, Немишлянський район, ПРОСПЕКТ МОСКОВСЬКИЙ, будинок 247А;2022.01.22;rro
84;10101101;1010110;КМ00004833;08304, Київська обл., місто Бориспіль, ВУЛИЦЯ ГОЛОВАТОГО, будинок 83;2022.01.23;otmena
85;10101101;1010110;КМ00004833;08304, Київська обл., місто Бориспіль, ВУЛИЦЯ ГОЛОВАТОГО, будинок 83;2022.01.23;rro
86;10101201;1010120;КМ00005053;82106, Львівська обл., місто Дрогобич, ВУЛИЦЯ ВОЛОДИМИРА ВЕЛИКОГО, будинок 66-1;2022.01.23;rro
87;10101301;1010130;КЛ00003755;24400, Вінницька обл., Бершадський р-н., м.Бершадь, вул.Юрія Коваленка, 19;2022.01.23;rro
88;10101101;1010110;КМ00004833;08304, Київська обл., місто Бориспіль, ВУЛИЦЯ ГОЛОВАТОГО, будинок 83;2022.01.23;rro
89;10101111;1010111;КЛ00000182;03026, м.Київ, Голосіївський район, ВУЛИЦЯ ПИРОГОВСЬКИЙ ШЛЯХ, будинок 135;2022.01.26;rro
90;10101131;1010113;КМ00004752;62302, Харківська обл., Дергачівський район, місто Дергачі, ВУЛИЦЯ СУМСЬКИЙ ШЛЯХ, будинок 158;2022.01.26;otmena
91;10101121;1010112;КМ00004758;69014, Запорізька обл., місто Запоріжжя, Шевченківський район, ВУЛИЦЯ КАРПЕНКА-КАРОГО, будинок 47;2022.01.26;otmena
92;10101111;1010111;КЛ00000182;03026, м.Київ, Голосіївський район, ВУЛИЦЯ ПИРОГОВСЬКИЙ ШЛЯХ, будинок 135;2022.01.26;otmena
93;10101101;1010110;КМ00004833;08304, Київська обл., місто Бориспіль, ВУЛИЦЯ ГОЛОВАТОГО, будинок 83;2022.01.26;otmena
94;10101131;1010113;КМ00004752;62302, Харківська обл., Дергачівський район, місто Дергачі, ВУЛИЦЯ СУМСЬКИЙ ШЛЯХ, будинок 158;2022.01.26;rro
95;10101121;1010112;КМ00004758;69014, Запорізька обл., місто Запоріжжя, Шевченківський район, ВУЛИЦЯ КАРПЕНКА-КАРОГО, будинок 47;2022.01.26;rro
96;10101111;1010111;КЛ00000182;03026, м.Київ, Голосіївський район, ВУЛИЦЯ ПИРОГОВСЬКИЙ ШЛЯХ, будинок 135;2022.01.26;rro
97;10101101;1010110;КМ00004833;08304, Київська обл., місто Бориспіль, ВУЛИЦЯ ГОЛОВАТОГО, будинок 83;2022.01.26;rro
98;10101131;1010113;КМ00004752;62302, Харківська обл., Дергачівський район, місто Дергачі, ВУЛИЦЯ СУМСЬКИЙ ШЛЯХ, будинок 158;2022.01.26;rro
99;10101121;1010112;КМ00004758;69014, Запорізька обл., місто Запоріжжя, Шевченківський район, ВУЛИЦЯ КАРПЕНКА-КАРОГО, будинок 47;2022.01.26;rro
100;10101101;1010110;КМ00004833;08304, Київська обл., місто Бориспіль, ВУЛИЦЯ ГОЛОВАТОГО, будинок 83;2022.01.26;rro
101;10101131;1010113;КМ00004752;62302, Харківська обл., Дергачівський район, місто Дергачі, ВУЛИЦЯ СУМСЬКИЙ ШЛЯХ, будинок 158;2022.01.26;rro
102;10101121;1010112;КМ00004758;69014, Запорізька обл., місто Запоріжжя, Шевченківський район, ВУЛИЦЯ КАРПЕНКА-КАРОГО, будинок 47;2022.01.26;rro
103;10101111;1010111;КЛ00000182;03026, м.Київ, Голосіївський район, ВУЛИЦЯ ПИРОГОВСЬКИЙ ШЛЯХ, будинок 135;2022.01.26;rro
104;10101101;1010110;КМ00004833;08304, Київська обл., місто Бориспіль, ВУЛИЦЯ ГОЛОВАТОГО, будинок 83;2022.01.26;rro
105;10101131;1010113;КМ00004752;62302, Харківська обл., Дергачівський район, місто Дергачі, ВУЛИЦЯ СУМСЬКИЙ ШЛЯХ, будинок 158;2022.01.26;rro
106;10101121;1010112;КМ00004758;69014, Запорізька обл., місто Запоріжжя, Шевченківський район, ВУЛИЦЯ КАРПЕНКА-КАРОГО, будинок 47;2022.01.26;rro
107;10101111;1010111;КЛ00000182;03026, м.Київ, Голосіївський район, ВУЛИЦЯ ПИРОГОВСЬКИЙ ШЛЯХ, будинок 135;2022.01.26;rro
108;10101101;1010110;КМ00004833;08304, Київська обл., місто Бориспіль, ВУЛИЦЯ ГОЛОВАТОГО, будинок 83;2022.01.26;rro
109;10101131;1010113;КМ00004752;62302, Харківська обл., Дергачівський район, місто Дергачі, ВУЛИЦЯ СУМСЬКИЙ ШЛЯХ, будинок 158;2022.01.26;prro
110;10101121;1010112;КМ00004758;69014, Запорізька обл., місто Запоріжжя, Шевченківський район, ВУЛИЦЯ КАРПЕНКА-КАРОГО, будинок 47;2022.01.26;prro
111;10101111;1010111;КЛ00000182;03026, м.Київ, Голосіївський район, ВУЛИЦЯ ПИРОГОВСЬКИЙ ШЛЯХ, будинок 135;2022.01.26;prro
112;10101101;1010110;КМ00004833;08304, Київська обл., місто Бориспіль, ВУЛИЦЯ ГОЛОВАТОГО, будинок 83;2022.01.26;prro
113;10101101;1010110;КМ00004833;08304, Київська обл., місто Бориспіль, ВУЛИЦЯ ГОЛОВАТОГО, будинок 83;2022.01.28;rro
114;10101201;1010120;КМ00005053;82106, Львівська обл., місто Дрогобич, ВУЛИЦЯ ВОЛОДИМИРА ВЕЛИКОГО, будинок 66-1;2022.01.28;rro
115;10101151;1010115;КМ00004801;69006, Запорізька обл., м.Запоріжжя, Дніпровський р-н., вул.Портова, 2;2022.01.28;rro
116;18900011;1890001;КС00019009;49000, Дніпропетровська обл., місто Дніпро, Шевченківський район, ВУЛИЦЯ ГЛИНКИ, будинок 2;2022.01.29;pereezd
117;18900011;1890001;КС00019009;49000, Дніпропетровська обл., місто Дніпро, Шевченківський район, ВУЛИЦЯ ГЛИНКИ, будинок 2;2022.01.29;otmena
118;18900081;1890008;КС00021668;69019, Запорізька обл., м.Запоріжжя, Дніпровський р-н., проспект Соборний, 218;2022.01.29;pereezd
119;18900011;1890001;КС00019009;49000, Дніпропетровська обл., місто Дніпро, Шевченківський район, ВУЛИЦЯ ГЛИНКИ, будинок 2;2022.01.29;prro
120;18900081;1890008;КС00021668;69019, Запорізька обл., м.Запоріжжя, Дніпровський р-н., проспект Соборний, 218;2022.01.29;prro
121;18900011;1890001;КС00019009;49000, Дніпропетровська обл., місто Дніпро, Шевченківський район, ВУЛИЦЯ ГЛИНКИ, будинок 2;2022.01.29;rro
122;18900081;1890008;КС00021668;69019, Запорізька обл., м.Запоріжжя, Дніпровський р-н., проспект Соборний, 218;2022.01.29;otmena
123;18900081;1890008;КС00021668;69019, Запорізька обл., м.Запоріжжя, Дніпровський р-н., проспект Соборний, 218;2022.01.29;rro
124;18900011;1890001;КС00019009;49000, Дніпропетровська обл., місто Дніпро, Шевченківський район, ВУЛИЦЯ ГЛИНКИ, будинок 2;2022.01.30;pereezd
125;18900081;1890008;КС00021668;69019, Запорізька обл., м.Запоріжжя, Дніпровський р-н., проспект Соборний, 218;2022.01.30;otmena
126;18900011;1890001;КС00019009;49000, Дніпропетровська обл., місто Дніпро, Шевченківський район, ВУЛИЦЯ ГЛИНКИ, будинок 2;2022.01.30;rro
127;18900081;1890008;КС00021668;69019, Запорізька обл., м.Запоріжжя, Дніпровський р-н., проспект Соборний, 218;2022.01.30;rro
128;18900011;1890001;КС00019009;49000, Дніпропетровська обл., місто Дніпро, Шевченківський район, ВУЛИЦЯ ГЛИНКИ, будинок 2;2022.01.30;pereezd
129;18900081;1890008;КС00021668;69019, Запорізька обл., м.Запоріжжя, Дніпровський р-н., проспект Соборний, 218;2022.01.30;pereezd
130;18900011;1890001;КС00019009;49000, Дніпропетровська обл., місто Дніпро, Шевченківський район, ВУЛИЦЯ ГЛИНКИ, будинок 2;2022.01.30;rro
131;18900081;1890008;КС00021668;69019, Запорізька обл., м.Запоріжжя, Дніпровський р-н., проспект Соборний, 218;2022.01.30;rro
132;18900011;1890001;КС00019009;49000, Дніпропетровська обл., місто Дніпро, Шевченківський район, ВУЛИЦЯ ГЛИНКИ, будинок 2;2022.01.30;rro
133;18900081;1890008;КС00021668;69019, Запорізька обл., м.Запоріжжя, Дніпровський р-н., проспект Соборний, 218;2022.01.30;rro
134;18900081;1890008;КС00021668;69019, Запорізька обл., м.Запоріжжя, Дніпровський р-н., проспект Соборний, 218;2022.01.30;pereezd
135;18900011;1890001;КС00019009;49000, Дніпропетровська обл., місто Дніпро, Шевченківський район, ВУЛИЦЯ ГЛИНКИ, будинок 2;2022.01.30;rro
136;18900081;1890008;КС00021668;69019, Запорізька обл., м.Запоріжжя, Дніпровський р-н., проспект Соборний, 218;2022.01.30;rro
137;18900011;1890001;КС00019009;49000, Дніпропетровська обл., місто Дніпро, Шевченківський район, ВУЛИЦЯ ГЛИНКИ, будинок 2;2022.01.30;rro
138;18900081;1890008;КС00021668;69019, Запорізька обл., м.Запоріжжя, Дніпровський р-н., проспект Соборний, 218;2022.01.30;rro
139;18900011;1890001;КС00019009;49000, Дніпропетровська обл., місто Дніпро, Шевченківський район, ВУЛИЦЯ ГЛИНКИ, будинок 2;2022.01.30;rro
140;18900081;1890008;КС00021668;69019, Запорізька обл., м.Запоріжжя, Дніпровський р-н., проспект Соборний, 218;2022.01.30;rro
141;18900011;1890001;КС00019009;49000, Дніпропетровська обл., місто Дніпро, Шевченківський район, ВУЛИЦЯ ГЛИНКИ, будинок 2;2022.01.30;rro
142;18900081;1890008;КС00021668;69019, Запорізька обл., м.Запоріжжя, Дніпровський р-н., проспект Соборний, 218;2022.01.30;rro
143;18900011;1890001;КС00019009;49000, Дніпропетровська обл., місто Дніпро, Шевченківський район, ВУЛИЦЯ ГЛИНКИ, будинок 2;2022.01.30;rro
144;18900081;1890008;КС00021668;69019, Запорізька обл., м.Запоріжжя, Дніпровський р-н., проспект Соборний, 218;2022.01.30;rro
145;18900011;1890001;КС00019009;49000, Дніпропетровська обл., місто Дніпро, Шевченківський район, ВУЛИЦЯ ГЛИНКИ, будинок 2;2022.01.30;rro
146;18900081;1890008;КС00021668;69019, Запорізька обл., м.Запоріжжя, Дніпровський р-н., проспект Соборний, 218;2022.01.30;rro
147;18900011;1890001;КС00019009;49000, Дніпропетровська обл., місто Дніпро, Шевченківський район, ВУЛИЦЯ ГЛИНКИ, будинок 2;2022.01.30;rro
148;18900081;1890008;КС00021668;69019, Запорізька обл., м.Запоріжжя, Дніпровський р-н., проспект Соборний, 218;2022.01.30;rro
149;18900011;1890001;КС00019009;49000, Дніпропетровська обл., місто Дніпро, Шевченківський район, ВУЛИЦЯ ГЛИНКИ, будинок 2;2022.01.30;pereezd
150;18900081;1890008;КС00021668;69019, Запорізька обл., м.Запоріжжя, Дніпровський р-н., проспект Соборний, 218;2022.01.30;pereezd
151;18900011;1890001;КС00019009;49000, Дніпропетровська обл., місто Дніпро, Шевченківський район, ВУЛИЦЯ ГЛИНКИ, будинок 2;2022.01.30;otmena
152;1010008;10100085;FK80230631;85301, Донецька обл., місто Покровськ, ВУЛИЦЯ ШМІДТА, будинок 202;21.01.2022;rro
153;1010008;10100087;FK80230689;85301, Донецька обл., місто Покровськ, ВУЛИЦЯ ШМІДТА, будинок 202;21.01.2022;rro
154;1010008;10100088;FK80230612;85301, Донецька обл., місто Покровськ, ВУЛИЦЯ ШМІДТА, будинок 202;21.01.2022;rro
155;1010008;10100089;FK80230690;85301, Донецька обл., місто Покровськ, ВУЛИЦЯ ШМІДТА, будинок 202;21.01.2022;rro
156;1010009;10100091;КМ00007132;87500, Донецька обл., м.Маріуполь, Центральний р-н., Запорізьке шосе, 1;21.01.2022;rro
157;1010009;10100092;FK80230658;87500, Донецька обл., м.Маріуполь, Центральний р-н., Запорізьке шосе, 1;21.01.2022;rro
158;1010009;10100093;FK80230694;87500, Донецька обл., м.Маріуполь, Центральний р-н., Запорізьке шосе, 1;21.01.2022;rro
159;1010009;10100094;FK80230695;87500, Донецька обл., м.Маріуполь, Центральний р-н., Запорізьке шосе, 1;21.01.2022;rro
160;1010009;10100095;FK80230830;87500, Донецька обл., м.Маріуполь, Центральний р-н., Запорізьке шосе, 1;21.01.2022;rro
161;1010009;10100096;FK80230696;87500, Донецька обл., м.Маріуполь, Центральний р-н., Запорізьке шосе, 1;21.01.2022;rro
162;1010009;10100097;FK80231066;87500, Донецька обл., м.Маріуполь, Центральний р-н., Запорізьке шосе, 1;21.01.2022;rro
163;1010009;10100098;FK80230697;87500, Донецька обл., м.Маріуполь, Центральний р-н., Запорізьке шосе, 1;21.01.2022;rro
164;1010009;10100099;FK80230676;87500, Донецька обл., м.Маріуполь, Центральний р-н., Запорізьке шосе, 1;21.01.2022;rro
165;1010010;10100101;КС00002332;93405, Луганська обл., м.Сєвєродонецьк,  вул.Федоренка,10;21.01.2022;rro
166;1010010;10100102;FK80230966;93405, Луганська обл., м.Сєвєродонецьк,  вул.Федоренка,10;21.01.2022;rro
167;1010010;10100103;FK80231038;93405, Луганська обл., м.Сєвєродонецьк,  вул.Федоренка,10;21.01.2022;rro
168;1010010;10100104;FK80230751;93405, Луганська обл., м.Сєвєродонецьк,  вул.Федоренка,10;21.01.2022;rro
169;1010010;10100105;FK80230652;93405, Луганська обл., м.Сєвєродонецьк,  вул.Федоренка,10;21.01.2022;rro
170;1010010;10100106;FK80230698;93405, Луганська обл., м.Сєвєродонецьк,  вул.Федоренка,10;21.01.2022;rro
171;1010010;10100107;FK80230701;93405, Луганська обл., м.Сєвєродонецьк,  вул.Федоренка,10;21.01.2022;rro
172;1010010;10100108;FK80230725;93405, Луганська обл., м.Сєвєродонецьк,  вул.Федоренка,10;21.01.2022;rro
173;1010010;10100109;FK80230931;93405, Луганська обл., м.Сєвєродонецьк,  вул.Федоренка,10;21.01.2022;rro
