Терминал;Отделение;Адрес;Партнёр
10100441;1010044;02099, м.Київ, Дарницький район, ВУЛИЦЯ БОРИСПІЛЬСЬКА, будинок 9;delivery
10100451;1010045;93003, Луганська обл., місто Рубіжне, ВУЛИЦЯ ПОМЕРАНЧУКА, будинок 13-А;delivery
10100461;1010046;08132, Київська обл., Києво-Святошинський район, місто Вишневе, ВУЛИЦЯ ПРОМИСЛОВА, будинок 5;delivery
10100471;1010047;49101, Дніпропетровська обл., місто Дніпро, Центральний район, ВУЛИЦЯ ВОЛОДИМИРА АНТОНОВИЧА, будинок 33;delivery
10100481;1010048;49033, Дніпропетровська обл., місто Дніпро, Чечелівський район, ВУЛИЦЯ КРАСНОПІЛЬСЬКА, будинок 23А;delivery
10100491;1010049;40007, Сумська обл., місто Суми, Зарічний район, ВУЛИЦЯ ЛІНІЙНА, будинок 15;delivery
10100501;1010050;67806, Одеська обл., Овідіопольський район, селище міського типу Авангард, ВУЛИЦЯ БАЗОВА, будинок 11;delivery
10100511;1010051;18036, Черкаська обл., місто Черкаси, Соснівський район, ВУЛИЦЯ 14-ГО ГРУДНЯ, будинок 6/1;delivery
10100521;1010052;19402, Черкаська обл., Корсунь-Шевченківський район, місто Корсунь-Шевченківський, ВУЛИЦЯ ГЕРОЇВ МАЙДАНУ, будинок 8;delivery
10100531;1010053;72312, Запорізька обл., місто Мелітополь, ВУЛИЦЯ ІНТЕРКУЛЬТУРНА, будинок 21/1;delivery
10100541;1010054;69057, Запорізька обл., місто Запоріжжя, Вознесенівський район, ВУЛИЦЯ ОЛЕКСАНДРА МАТРОСОВА, будинок 15;delivery
10100551;1010055;84507, Донецька обл., місто Бахмут, ВУЛИЦЯ МІЧУРІНА, будинок 1-А;delivery
10100561;1010056;84122, Донецька обл., місто Слов`янськ, ВУЛИЦЯ ПОШТОВА, будинок 81;delivery
10100571;1010057;61040, Харківська обл., місто Харків, Холодногірський район, ВУЛИЦЯ ВЕЛИКА ПАНАСІВСЬКА, будинок 185;delivery
10100581;1010058;11707, Житомирська обл., місто Новоград-Волинський, ВУЛИЦЯ ШЕВЧЕНКА, будинок 54;delivery
10100591;1010059;29026, Хмельницька обл., місто Хмельницький, ВУЛИЦЯ ПІЛОТСЬКА, будинок 77/6;delivery
10100611;1010061;81400, Львівська обл., місто Самбір, ВУЛИЦЯ ШЕВЧЕНКА, будинок 52/9;delivery
10100621;1010062;33027, Рівненська обл., місто Рівне, ВУЛИЦЯ Київська, будинок 98;delivery
10100631;1010063;43023, Волинська обл., місто Луцьк, ВУЛИЦЯ ЄРШОВА, будинок 11;delivery
10100641;1010064;02081, м.Київ, Дарницький район, ВУЛИЦЯ ПРИЧАЛЬНА, будинок 5-А;delivery
10100651;1010065;45201, Волинська обл., Ківерцівський район, м.Ківерці, ВУЛИЦЯ ЧКАЛОВА, будинок 61;delivery
10100661;1010066;04074, м.Київ, Оболонський район, ВУЛИЦЯ КОНОПЛЯНСЬКА, будинок 12;delivery
10100671;1010067;42001, Сумська обл., місто Ромни, ВУЛИЦЯ ГОРЬКОГО, будинок 67;delivery
10100681;1010068;49019, Дніпропетровська обл., місто Дніпро, Ленінський район, ВУЛИЦЯ КВІТКИ-ОСНОВ`ЯНЕНКО, будинок 5;delivery
10100691;1010069;43018, Волинська обл., місто Луцьк, ВУЛИЦЯ ПОТЕБНІ, будинок 71;delivery
10100701;1010070;67704, Одеська обл., місто Білгород-Дністровський, ВУЛИЦЯ ГАГАРІНА, будинок 33;delivery
10100711;1010071;30501, Хмельницька обл., Полонський район, місто Полонне, ВУЛИЦЯ ДЕСЯТИННА, будинок 36;delivery
10100721;1010072;71108, Запорізька обл., місто Бердянськ, ВУЛИЦЯ ПРАВДИ, будинок 80;delivery
10100731;1010073;64602, Харківська обл., місто Лозова, ПРОВУЛОК СЕВАСТОПОЛЬСЬКИЙ, будинок 2Б;delivery
10100741;1010074;17503, Чернігівська обл., місто Прилуки, ВУЛИЦЯ КОЗАЧА, будинок 56;delivery
10100751;1010075;34503, Рівненська обл., Сарненський район, місто Сарни, ВУЛИЦЯ ТКАЧА, будинок 12;delivery
10100761;1010076;45403, Волинська обл., місто Нововолинськ, ВУЛИЦЯ ПРОМИСЛОВА, будинок 67;delivery
10100771;1010077;44301, Волинська обл., Любомльський район, місто Любомль, ВУЛИЦЯ 1 ТРАВНЯ, будинок 127;delivery
10100781;1010078;36020, Полтавська обл., місто Полтава, Октябрський район, ВУЛИЦЯ СОБОРНОСТІ, будинок 28/13;delivery
10100791;1010079;41100, Сумська обл., місто Шостка, ВУЛИЦЯ САДОВИЙ БУЛЬВАР, будинок 36А;delivery
10100811;1010081;74800, Херсонська обл., місто Каховка, ВУЛИЦЯ МЕЛІТОПІЛЬСЬКА, будинок 83;delivery
10100821;1010082;34400, Рівненська обл., місто Вараш, ВУЛИЦЯ ЛІСОВА, будинок 1;delivery
10100831;1010083;46003, Тернопільська обл., місто Тернопіль, ВУЛИЦЯ БРОДІВСЬКА, будинок 44;delivery
10100841;1010084;87515, Донецька обл., місто Маріуполь, Центральний район, ВУЛИЦЯ ІТАЛІЙСЬКА, будинок 40;delivery
10100851;1010085;35000, Рівненська обл., Костопільський район, місто Костопіль, ВУЛИЦЯ ДРУЖБИ, будинок 2;delivery
10100861;1010086;08700, Київська обл., місто Обухів, ВУЛИЦЯ ЖОВТНЕВА, будинок 174;delivery
10100871;1010087;53208, Дніпропетровська обл., місто Нікополь, ВУЛИЦЯ КООПЕРАТИВНА, будинок 5;delivery
10100881;1010088;45008, Волинська обл., місто Ковель, ВУЛИЦЯ Незалежності, будинок 166-А;delivery
10100891;1010089;81700, Львівська обл., Жидачівський район, місто Жидачів, ВУЛИЦЯ ВОКЗАЛЬНА, будинок 5;delivery
10100901;1010090;20301, Черкаська обл., місто Умань, ВУЛИЦЯ ІНДУСТРІАЛЬНА, будинок 14А;delivery
10100911;1010091;44101, Волинська обл., Ратнівський район, селище міського типу Ратне, ВУЛИЦЯ 1-ГО ТРАВНЯ, будинок 34;delivery
10100921;1010092;89611, Закарпатська обл., місто Мукачево, ВУЛИЦЯ АКАДЕМІКА МОРОЗОВА, будинок 20;delivery
10100931;1010093;31202, Хмельницька обл., Волочиський район, місто Волочиськ, ВУЛИЦЯ ОЛЕКСАНДРА ДОВЖЕНКА, будинок 2-Ж;delivery
10100941;1010094;25015, Кіровоградська обл., м.Кропивницький, Подільський р-н., вул. Євгена Маланюка, 11-А;delivery
10100951;1010095;55001, Миколаївська обл., місто Южноукраїнськ, ВУЛИЦЯ ДРУЖБИ НАРОДІВ, будинок 5/5;delivery
10100961;1010096;93600, Луганська обл., Станично-Луганський район, селище міського типу Станиця Луганська, ВУЛИЦЯ БУКАЄВА, будинок 53;delivery
10100971;1010097;71701, Запорізька обл., місто Токмак, ВУЛИЦЯ КАРЛА ЛІБКНЕХТА, будинок 103;delivery
10100981;1010098;69089, Запорізька обл., місто Запоріжжя, Дніпровський район, ВУЛИЦЯ ІСТОМІНА, будинок 6;delivery
10100991;1010099;16610, Чернігівська обл., місто Ніжин, ВУЛИЦЯ ГЕНЕРАЛА КОРЧАГІНА, будинок 2;delivery
10101001;1010100;41600, Сумська обл., місто Конотоп, ВУЛИЦЯ САДОВА, будинок 16;delivery
10101011;1010101;39801, Полтавська обл., місто Горішні Плавні, ВУЛИЦЯ СТРОНА, будинок 1;delivery
10101021;1010102;23100, Вінницька обл., місто Жмеринка, ВУЛИЦЯ КИЇВСЬКА, будинок 18;delivery
10101031;1010103;56501, Миколаївська обл., місто Вознесенськ, ВУЛИЦЯ СОБОРНОСТІ, будинок 13;delivery
10101041;1010104;92905, Луганська обл., Кремінський район, місто Кремінна, ПРОВУЛОК ПІЩАНИЙ, будинок 10;delivery
10101051;1010105;41400, Сумська обл., місто Глухів, ВУЛИЦЯ ТЕРЕЩЕНКІВ, будинок 55;delivery
10101061;1010106;75500, Херсонська обл., Генічеський район, місто Генічеськ, ПРОСПЕКТ МИРУ, будинок 109-Б;delivery
10101081;1010108;80109, Львівська обл., місто Червоноград, ВУЛИЦЯ БОГДАНА ХМЕЛЬНИЦЬКОГО, будинок 61;delivery
