num;terminals.department;terminals.termial;terminals.model;terminals.serial_number;terminals.date_manufacture;terminals.soft;terminals.producer;terminals.rne_rro;terminals.sealing;terminals.fiscal_number;terminals.oro_serial;terminals.oro_number;terminals.ticket_serial;terminals.ticket_1sheet;terminals.ticket_number;terminals.sending;terminals.books_arhiv;terminals.tickets_arhiv;terminals.to_rro;terminals.owner_rro;terminals.register;terminals.finish;departments.department;departments.region;departments.district_region;departments.district_city;departments.city_type;departments.city;departments.street;departments.street_type;departments.hous;departments.post_index;departments.partner;departments.status;departments.register;departments.edrpou;departments.address;departments.partner_name;departments.id_terminal;departments.koatu;departments.tax_id;departments.koatu2
1;1010110;10101101;Екселліо FPU-550ES;КМ00004833;10.07.2019;2.00 UA;ДАТЕКС ООД;000859850;Деливери;3000784994;ЕГ411018;1;ЕГ382108;ББАУ824601;1;24.04.2020;;;ТОВ ПОС;Деливери;22.04.2020;;1010110;Київська;;;м.;Бориспіль;Головатого;вулиця;83;08304;delivery;;15/01 від 20.01.2017;41094472;08304, Київська обл., місто Бориспіль, ВУЛИЦЯ ГОЛОВАТОГО, будинок 83;;2eec377d-da49-e211-9515-00155d012d0d;3210500000;15800649;
2;1010111;10101111;Екселліо FP-280;КЛ00000182;24.02.2016;2.00 UA;ДАТЕКС ООД;000749729;;3000286116;ЕГ224872;3;ЕГ112251;ББАУ263301;2;28.10.2019;ЕА252206;ВУ620675АБИА425501;ТОВ ПОС;власне;08.08.2017;;1010111;;;Голосіївський;м.;Київ;ПИРОГОВСЬКИЙ ШЛЯХ;вулиця;135;3026;delivery;;15/01 від 20.01.2017;41094488;03026, м.Київ, Голосіївський район, ВУЛИЦЯ ПИРОГОВСЬКИЙ ШЛЯХ, будинок 135;;;8036100000;15800644;
3;1010112;10101121;Екселліо FPU-550ES;КМ00004758;10.07.2019;2.00 UA;ДАТЕКС ООД;000859775;Деливери;3000782742;ЕГ411014;1;ЕГ382104;ББАУ824201;1;16.04.2020;;;ТОВ ПОС;Деливери;09.04.2020;;1010112;Запорізька;;;м.;Запоріжжя;КАРПЕНКА-КАРОГО;вулиця;47;69014;delivery;;15/01 від 20.01.2017;41094493;69014, Запорізька обл., місто Запоріжжя, Шевченківський район, ВУЛИЦЯ КАРПЕНКА-КАРОГО, будинок 47;;d1e5c843-d42f-e211-a357-00155d053b5d;2310137500;15800643;
4;1010113;10101131;Екселліо FPU-550ES;КМ00004752;10.07.2019;2.00 UA;ДАТЕКС ООД;000859769;Субаренда;3000791437;ЕГ411025;1;ЕГ382164;ББАТ850201;1;19.05.2020;;;ТОВ ПОС;Деливери;15.05.2020;;1010113;Харківська;Дергачівський;;м.;Дергачі;СУМСЬКИЙ ШЛЯХ;вулиця;158;62302;delivery;;15/01 від 20.01.2017;41094509;62302, Харківська обл., Дергачівський район, місто Дергачі, ВУЛИЦЯ СУМСЬКИЙ ШЛЯХ, будинок 158;Дергачі;B535FC21-866A-EA11-81BD-000D3A20E396;6322010100;15800645;
5;1010114;10101141;Екселліо FPU-550ES;КМ00005069;10.07.2019;2.00 UA;ДАТЕКС ООД;000852554;Субаренда;3000791436;ЕГ411024;1;ЕГ382165;ББАТ850301;1;19.05.2020;;;ТОВ ПОС;Деливери;15.05.2020;;1010114;Харківська;Харківський;;смт.;Пісочин;ПОЛТАВСЬКЕ ШОСЕ;вулиця;157-А;62416;delivery;;15/01 від 20.01.2017;41094514;62416, Харківська обл., Харківський район, селище міського типу Пісочин, ВУЛИЦЯ ПОЛТАВСЬКЕ ШОСЕ, будинок 157-А;Пісочин;5ddff9af-9772-ea11-81be-000d3a20e396;6325157900;15800642;
6;1010115;10101151;Екселліо FPU-550ES;КМ00004801;10.07.2019;4.00 UA;ДАТЕКС ООД;000859818;Субаренда;3000857024;ЕЕ174834;1;ЕЕ142194;ББАЩ698401;1;13.11.2020;;;ТОВ ПОС;Деливери;11.11.2020;;1010115;Запорізька;;Дніпровський;м.;Запоріжжя;Портова;вулиця;2;69006;delivery;;26/01 від 26.01.2017;41109038;69006, Запорізька обл., м.Запоріжжя, Дніпровський р-н., вул.Портова, 2;Запоріжжя-7;;2310136900;15800670;
